Company Name,Company Description,Company Link
1st of the month,User friendly digital platform which empowers people to own their own health.,https://www.1stofthemonth.co
AIFluence,Africa's 1st AI-Driven Influencer Marketing Platform,https://www.ai-fluence.com
AIKA Collectible,"Aika collectible allows artists, athletes and creators to fuel their growth by tapping into their communities, and for the fans—to invest in their favorites and be part of their success story.",https://aikacollectible.com/
AWAN,AW:AN (As We Are Now) is a tech-driven DTC brand on a mission to redesign comfortable clothes for women.,https://www.aswearenow.co
Abel,Engaging and original audio entertainment for kids.,https://abel-studios.com/
Academix,Educate Indonesian workers and connect them to offshore job opportunities,https://www.academix.id
Academlo,Learn to code. Get a job.,https://www.academlo.com
Acanthis,Acanthis is an integrated SaaS web application that provides SMBs with the insights and advice that they need in a way that they can understand.,https://www.acanthis.io
Acceleq,Automates medical documentation.,https://www.acceleq.com/
Ad Auris,Transform your written work into audio.,https://www.ad-auris.com
Adaptive,Adaptive is transforming the current state of DevOps and infrastructure functions for millions of developers and engineering managers globally.,https://www.adaptive.live
Ads-Run,Advertisement matching platform that connects advertisers and drivers,https://adsrun.imweb.me/
Afterefx,Afterefx enables investors to combine their experience and knowledge with the power of Alternative Data and Data Science to generate alpha.,https://www.afterefx.com
AiBA,"Real-time detection of fake profiles, grooming and toxicity.",https://www.aiba.ai
AiCare,AiCare combines IoT and AI to give motor insurance companies the most accurate risk assessment of their policyholders.,https://www.aicare.co.ke
Airmo,"A new approach to locate, quantify and track carbon dioxide and methane emissions using a small satellite constellation",https://www.airmo.io
Aival,"Evaluation and monitoring of healthcare imaging AI products. Our software enables clinicians and decision-makers to rapidly evaluate different products and choose the ones which offer greatest clinical benefit for their patients, and to ensure continued performance and fairness while in use.",https://www.aival.io/
Akar,Akar accelerate hyperlocal food security through modular indoor farming technology,http://www.akar.farm
Aline,Aline is an EdTech platform validating informal learning and enabling data-driven development for organisations and individuals.,https://www.alinebetter.com
Allihoop,Allihoop  is a technology enabled co-living brand offering flexible urban living in cities for professionals on the move.,https://www.allihoop.se
Allspring,"Reinventing how enterprise departments grow and retain talent, starting with sales teams.",https://www.tryallspring.com/
Alpha Impact,A platform allowing novice cryptocurrency enthusiasts to securely and safely follow the trades of industry veterans.,https://www.alphaimpact.fi
Alphashine,Reimagining The Way People Use Car Detailing Services Globally.,https://www.alphashine.io/ca/home
Alternō,"AirCity is a technology company that provides residential property management services to help owners manage their buildings hassle-free, anywhere and anytime, only with 5% of the revenue for the management fee.",https://www.alterno.group/
Amply,"Amply offers SMBs a holistic platform that centralizes financial operations. Using a proprietary machine-learning engine, Amply enriches clients’ individual financial transaction data and adds a layer of finance modules on top of it. SMBs will find the financial toolkits, insights and infrastructure to more efficiently execute their work.",http://getamply.io
Andisor,"Andisor is a curated, B2B digital marketplace, purpose-built for fashion.",https://www.andisor.com
Anyone,"Anyone is an audio app for advice on-demand that’s setting out to reinvent the phone book as we know it. All voice calls are 1:1 and five minutes long – short enough to connect with someone without having to go through their inbox or calendar, and structured enough to get advice around a specific topic. This creates direct access to inspiring but busy people who are finally able to pick up the phone – either for a set price per call, or just because they want to give back.",https://www.anyo.ne
ApniBus,India’s largest intercity mobility platform for the next 400 mn Bharat travellers.,https://www.apnibus.com
April Labs,"April works with local content creators to promote vacant real estate and local businesses to a younger, mobile audience through short, engaging walkthrough videos and content styles.",https://www.theaprilapp.com
Arkive,"A beauty platform that end-to-end digitizes beauty excess inventory, and implementing a cradle-to-cradle philosophy.",https://www.arkive.nl
Armada,Armada acquires high performing ecommerce brands. We continue the legacy of the brand founder and invest new capital to grow the brands.,https://www.armada-brands.com
ArtWallStreet,ArtWallStreet helps brands easily launch their NFT collections.,https://www.awst.io
AuMBER,AuMBER is a cloud platform allowing anyone in the world to access any smart device for testing purposes through a network of crowd-sourced devices.,https://aumber.io/
Automicle,Automicle provides app developers a unified API and contract to offer local mobility services to their app users.,https://www.automicle.com
B4Grad,"B4Grad is creating a mobile platform that allows students to share study materials such as notes, files, flash cards, and more, easily.",https://www.b4grad.com
BITVISION,Management reporting and regulatory compliance made easy. The BITVISON crypto accounting solution streamlines financial operations for businesses that use digital assets.,https://www.bitvision.info
BUYO,100% nature-based and fully biodegradable bioplastic solution to replace regular plastics.,https://buyoplastic.com/
Bakers,Amateur sports club management has never been this easier,https://bakers.co.kr/
Baselime,Observability solution for serverless architectures.,https://www.baselime.io
Basemaker,"A marketplace that rents custom audiences from creators to advertisers, making it easy the process of hypersegmentation in their digital ad campaigns",https://www.basemaker.co/
Baser,Baser helps companies increase their organic traffic through SEO automation.,https://getbaser.com
Benjamin,Puts 30 million cash-back locations in consumers' pockets by offering a banking platform that connects merchants and customers.,https://www.benjaminone.com/
BeyondBrands,"An all in one monetization platform that helps creators Launch, Grow and Scale their business without a single line of code",https://www.beyondbrands.io
Biogenes Technologies,Diagnostics simplified.,https://www.biogenestech.com
Blakthumb,Blakthumb is a software company that provides an intuitive end-to-end operating system for Indoor Agriculture.,https://www.blakthumb.com
Bling,Next-gen live commerce marketplace,https://www.bling.co.id
Blink,Instant Checkout for Indonesian eCommerce,http://www.blink.co.id
Bloss,"Creating inclusive, family-friendly workplaces.",https://www.blossapp.com
Bold Finance,Financial services platform revolutionizing the ~$85 billion unorganized gold loan market.,https://www.boldfinance.in
Bookee,"SaaS platform for fitness businesses to acquire, manage and grow their customer base.",https://www.bookeeapp.com
Bramp,Bramp is a smart and affordable branding ecosystem for startups and SME. We are on a mission to make strategic branding tools accessible to every budget and revolutionise the branding industry.,https://www.bramp.co
Break the Love,"Unlocking access to group-based tennis activities for players of all levels to learn, train, and compete in a more affordable way while enabling independent coaches to earn more income with flexibility.",https://www.breakthelove.com
Breathonix,Breath Tests for Disease Detection,https://www.breathonix.com
Breyta,Collaborative CRM system for SaaS companies,https://www.breyta.io
Brick,"Brick is a financial data application programming interface (API) that allows developers to offer in-app financial services ranging from data, to insights, Payments, personalised Finance. Their 1st product - Brick Data API - instantly gives any tech company in ASEAN access to their user’s local digital financial accounts via bank a/c, telco, e-wallet, e-commerce and super app data.",https://www.onebrick.io
Brieff,Brieff is a SaaS product that helps accountants enhance and scale their advisory services.,https://www.brieff.io
