Company Name,Company Link,Description,Geography
1Up,https://1up.ai/,"1UP is an AI-powered competitive intelligence platform designed to give leading companies real-time information on their competitors. Competitor data is often housed in different silos / systems. 1UP's platform effortlessly pulls all data from various repositories such as LinkedIn, competitor websites, GlassDoor, and CRM systems.",New England
6d.ai,http://6d.ai/,"6D is an augmented reality cloud platform designed for AR apps and intended to build a comprehensive, real-time 3D map of the world. The company’s platform constructs a real-time dense mesh from crowd-sourced data for use in 3D mapping and multi-user AR experiences.",California
8base,https://8base.com/,"8base is a low-code, full stack development platform helping entrepreneurs and creators in established companies bring their product visions to life faster, better, and more economically. The platform helps users deliver client projects faster while increasing their margins and reducing reliance on scarce and expensive software development talent.",Southeast
Abatable,http://abatable.com/,"Abatable has developed a platform that helps companies navigate the complexity of voluntary carbon markets and steer to net-zero carbon. Abatable has developed a platform that helps companies navigate the complexity of voluntary carbon markets and build a credible, rigorous path to net-zero carbon.",Europe
AC Momento,https://www.acmomento.com/,"AC Momento is football's premier online auction house, bringing fans game-worn jerseys and memorabilia sourced directly from their favorite clubs and athletes. AC Momento sources jerseys and memorabilia via exclusive agreements with top clubs and athletes. Its mobile app provides digital certificates of authenticity, live in-game bidding, personal player collections, and soon a platform for secondary sales.",New York
Accolade,http://www.accolade.com/,"Accolade is an independent health and benefits solution designed to improve experience, outcomes, and cost of medical care. They use personalized advocacy and the latest technology to help achieve consistent, favorable results in the healthcare field.",Mid-Atlantic
Activ Surgical,http://activsurgical.com/,"Activ Surgical is the developer of an AI-augmented surgical platform. Their hardware-agnostic surgical software allows minimally invasive surgical systems (laparoscopes, arthroscopes and robots) to autonomously collaborate with surgeons.",New England
Active Protective,http://www.activeprotective.com/,"Tango develops smart belts to reduce traumatic injury after a fall by using 3D motion sensors and wearable airbag technology. The belts are designed for seniors with comfort and function in mind, and send digital alerts to caregivers for fall notification.",Mid-Atlantic
AdaptX,https://www.adaptx.com/,"AdaptX (formally MDmetrix) is a healthcare data analytics, visualization, and AI company that serves hospitals and surgery centers. Users can understand outcomes, compare approaches, improve their care, and monitor results — letting them easily leverage their own data.",West Coast (x-CA)
AdeptID,https://adept-id.com/,"AdeptID is a social-impact venture that uses machine learning to improve job mobility for people in the workforce who do not have college degrees. The company identifies transferable skills for any job, which it uses to recommend overlooked talent being sought by clients such as large employers and training providers. It also provides API access for product leaders and developers at talent software companies.",New England
Adventr,http://adventr.io/,"Adventr’s SaaS platform allows users to design, distribute, and analyze interactive, viewer-driven video content. It features interactive user options like mobile play, customized social sharing, pre-roll ad network compatibility, and more.",New York
Aescape,http://aescape.co/,"Aescape is a robotics-enabled massage platform. The company automates soft tissue treatment and brings actionable measurement to massage therapy using a system of sensing, artificial intelligence, and robotics.",New York
Agile Stacks,http://www.agilestacks.com/,"Agile Stacks provides enterprise clients with an automated cloud development and deployment service platform. They use composable stacks, full stack automation, integrated security, and other software components needed for cloud operations.",California
Agolo,http://agolo.com/,"Agolo’s content summarization platform is designed to help companies fight information overload. Its neural network training is powered by an extensive dataset of human-written summaries, enabling users to consume information more efficiently.",New York
AI.Reverie,http://aireverie.com/,"AI.Reverie offers a suite of synthetic data and vision APIs to help businesses train their machine learning algorithms and improve AI accuracy. Users can generate diverse, accurate training data at scale, making the process affordable, fast, and productive.",New York
Aiden,https://meetaiden.com/,"Aiden is an automated IT management platform that ensure every device is automatically configured, updated, and secured to a company’s specs. Its AI-powered solution centralizes software deployment, patch management, and compliance maintenance.",South
Airbase,http://airbase.io/,"Airbase has developed a comprehensive spend management platform for small and midsize companies that combines bill payments, corporate cards, and expense reimbursements. Their platform brings three products into a single system: all-inclusive accounts payable automation, software-enabled corporate cards, and simplified employee expense reimbursements. It provides a faster close, better visibility, and improved control over non-payroll spend",California
AirMyne,https://www.airmyne.com/,"AirMyne is building a system that efficiently captures carbon dioxide from the atmosphere at an industrial scale and permanently stores it in deep geological formations. Compared to other direct air capture (DAC) technologies, Airmyne’s C02 removal process involves much lower energy use, capex / opex costs, and complexity.",California
Akiba Digital,http://gloqal.co/,Akiba is a credit-scoring solution for African small and medium businesses. Their system helps lenders match customers with the right financial products using AI and machine learning.,Africa
Aklivity,https://aklivity.io/,"Aklivity provides an API platform that simplifies connecting apps and services to event-driven systems that detect customer engagement events in real time (such as placing an item in an ecommerce cart). With Aklivity, teams can achieve a unified, event-driven architecture that supports the latest generation of mobile, web, IoT, and hybrid cloud initiatives. Its platform gives businesses the ability to deliver rich customer experiences and data-driven business operations such as real-time preventive maintenance, IoT analytics, and diagnostics.",California
Akorda,http://www.akorda.com/,"Akorda is an AI-based platform for legal contract analysis, workflow, and standardization, allowing teams to manage execution risk. It aims to resolve open issues quickly, track approvals, and sign contracts faster, working better with fewer resources.",California
Akselos,http://www.akselos.com/,"Akselos develops engineering simulations for offshore oil and gas and power system industries, making digital twins a reality. Their products help augment risk-based inspections while implementing accurate, physics-based simulations.",Europe
Akua,https://akua.co/,"Akua produces and markets tasty, nutritious, plant-based food made with ocean-farmed kelp. Their sustainable seagreens products are vegan, gluten-free, soy-free, and low in calories. They source kelp from ocean farms that require no fresh water, land, or fertilizer — positively impacting the environment.",New York
Alba,http://www.alba-app.com/,"Alba enables parents from Latin America to instantly book trusted, licensed caregivers from their own social networks. The platform connects users with vetted caregivers and allows them to monitor every step of their loved one’s care.",South/Central America
Aleph,https://alephcrm.com/,"Aleph’s cloud-based enterprise software simplifies the e-commerce process in Latin America. Their platform connects all three actors in the commercial chain — brands, wholesale distributors, and retailers — by providing catalog standardization, marketplaces, logistics, traceability, and other services.",South/Central America
Aleph Farms,http://aleph-farms.com/,Aleph Farms produces beef steaks using the natural cells of a cow. Their process cultivates whole cuts of meat from lab-grown cow cells in 3 to 4 weeks.,Middle East
Algolux,http://algolux.com/,"Algolux is the developer of an autonomous vision and imaging technology. The company uses machine learning, computational imaging, and image processing to enable vehicles and devices to ""see"" the world, even in adverse conditions.",Canada
Algorand,https://www.algorand.com/,"Algorand develops open source, public blockchain technology based on a pure proof-of-stake consensus protocol. They help traditional and decentralized financial businesses improve scalability and transaction finality.",New England
