Company Name,Link,Year Founded,Description
Atlas Metrics,https://www.atlasmetrics.io/,2023,"Atlas Metrics is building a global data infrastructure that is universal in its conception, enabling companies to easily collect, report and exchange any ESG data."
Degura,https://www.degura.de/en/,2023,"Degura provides company HR departments with a cloud-based software solution tailored to both the B2B and B2C sides of pension plan provision, making discovering, offering and managing company pension plans in Germany (bAV) as easy as online shopping."
klarx,https://klarx.de/de/,2022,klarx is a Munich-based digital solution provider for the rental of construction equipment and heavy machinery.
CamperBoys,https://camperboys.com/en,2022,"CamperBoys rents out premium camper vans throughout Germany, offering a fully-serviced package including great equipment and complete insurance for the duration of the rental."
MMI,https://www.mmimicro.com/,2022,"MMI is the developer of Symani Surgical system to specifically to address the challenges of microsurgery. It is the only system that offers wristed microinstruments designed to improve a surgeon’s ability to access and suture small, delicate anatomy."
Napo,https://www.napo.pet/,2022,"Napo is a startup providing insurance for pets and is committed to bringing innovative, customer-centric and transparent products to the market."
TextCortex,https://textcortex.com/,2022,"TextCortex is a Berlin-based AI startup founded in 2021 on a mission to simplify, accelerate, and democratize written communication. The company offers AI-powered writing companions based on their own proprietary technology that are easily integrated into a browser or desktop."
Calvin Risk,https://www.calvin-risk.com/,2022,Calvin Risk provides a holistic auditing tool and risk management system centered around a company's AI inventory (i.e. the sum total of all algorithms developed for commercial use) to help foster ethical AI.
Otterspace,https://www.otterspace.xyz/,2022,"Otterspace is on a mission to bring DAOs to the mainstream. Badges are a powerful new coordination primitive for DAOs, helping to de-financialize governance, automate permissions and recognize non-financial contributions."
Plantura,https://shop.plantura.garden/,2022,"Plantura is the leading digital brand for gardening. As a vertically integrated direct-to-consumer brand, they want to make gardening more sustainable and ecologically friendly."
Demoboost,https://demoboost.com/,2022,"Demoboost is a Warsaw-based start-up helping B2B software vendors transform their marketing and sales activities, by providing a platform to easily create, personalize, share, and track product demos at scale."
Urban Connect,https://urban-connect.com/,2022,"Urban Connect is a mobility platform for corporates offering employees access to a fleet of low-carbon, shared vehicles like e-bikes, bikes, e-scooters and e-cars."
Coleap,https://www.coleap.com/,2022,Coleap is building the next generation up-skilling platform for entrepreneurs and founders. Join Coleap to learn from the best and connect with like-minded peers.
Weaver,https://www.weaver.build/,2022,Weaver is London-based marketplace connecting architects and contractors over a bidding platform for homeowners and architects to obtain contractor prices for their renovation projects. The company's mission is to deliver frictionless renovation contracts.
Miss Moneypenny Technologies,https://en.missmp.eu/,2022,Miss Moneypenny Technologies is a Berlin-based start-up that enables enterprise companies to communicate directly with their users through passes in the digital wallet of the mobile phone.
ZERO Insurance,https://zero-insurance.com/,2022,"ZERO Insurance is a German-based company with the mission to build Europe's leading, technology-enabled insurance infrastructure provider by reinventing insurance for the digital world."
Nelly,https://www.getnelly.de/,2022,"Nelly's software solution enables medical professionals to digitally record the patient journey as well as to automatically engage in patient billing. The entire visit to the doctor’s office, from registration, medical history and signing of medical documents, through to payment, is fully mapped on the patient’s smartphone."
1KOMMA5°,https://www.1komma5grad.com/,2022,"1KOMMA5° wants to provide as many people as possible in Europe to live CO2-free by providing the technology for decentralized, clean energy supply including heating all integrated over one hardware platform."
Forget Finance,https://www.forget.finance/,2022,Forget Finance created the first financial coaching app for saving and investing. It offers hybrid financial advice from an AI bot and human experts to aid young people in making early provisions for their financial future.
Predium,https://en.predium.de/,2022,"Predium offers an all-in-one software solution that determines ESG balances of buildings, proposes measures for CO2 reduction and backs these up with an investment calculation. The company thus enables real estate owners to reconcile sustainability and economic efficiency."
Edurino,https://www.edurino.com/,2022,"Edurino is a digital learning platform with an app for children that uses an ergonomic stylus and real figures to create a hybrid approach to reading and writing, utilizing any mobile device."
Kubermatic,https://www.kubermatic.com/,2022,"Automate operations of thousands of Kubernetes clusters across multi-cloud, on-premise, and edge environments with unparalleled density and resilience."
JOIN,https://join.com/,2022,"JOIN provides an end-to-end recruiting solution that allows their clients to build job ads, promote them on free and premium job boards, and manage candidates easily."
equal1,https://www.equal1.com/,2021,"equal1 is building highly scalable, cost effective, compact and low power quantum dot based silicon quantum computers used for machine learning training and inference applications as well as complex optimization problems."
Coinscrap Finance,https://coinscrapfinance.com/,2021,"Coinscrap Finance is working on becoming the Financial Health AI platform of the future using transactional data and behavioural economics. They help banks and insurers to understand the financial situation of their clients and to sell the product that better, fits a win-win for both financial entities and their retail customers"
Baresquare,https://baresquare.com/,2021,"Baresquare has developed an AI-powered analytics platform to transform the way marketing, eCom and retail professionals work with data. Rather than continue sifting and sorting through endless static data reports in search of insights and answers, Baresquare’s action-driven analytics platform pinpoints traffic, conversion and customer experience optimization opportunities—providing teams with clear next steps to act fast for the greatest business impact."
FAAREN,https://faaren.com/,2021,FAAREN enables automotive stakeholders to become car subscription providers by offering a white label software solution and an own car subscription place marketplace.
Aleph Farms,https://www.aleph-farms.com/,2021,"Aleph Farms is a leading cultivated meat company. Reimagining our food systems, Aleph Farms is growing beef steaks from non-genetically engineered cells isolated from living cows in a slaughter-free way and with a significantly reduced environmental impact."
ecolytiq,https://ecolytiq.com/,2021,Imagine a technology analyzing payment transactions in real-time for their environmental impact. ecolytiq's Sustainabilty-as-a-Service solution enables you to offer sustainable finance products for tomorrow and drive millions of consumers to change their behavior for the better.
Procuros,https://procuros.io/,2021,Procuros is a SaaS company that builds infrastructure to connect companies to facilitate B2B transactions digitally. Businesses of all sizes use the Procuros API platform to automate their operations. A single connection empowers customers to automatically exchange trade transactions with all their partners and save time during data entry.
LiveEO,https://www.live-eo.com/,2021,LiveEO is a leading provider of earth observation technologies and solutions that revolutionize asset monitoring and improve the lives of people around the world
moojo,https://www.getmoojo.com/,2021,"Moojo is a Berlin-based Fintech company, founded in 2021 with a view to build the fintech backbone for digital freelancers and the creator economy."
Baufi24,https://www.baufi24.de/,2021,Baufi24 as independent retail mortgage financing intermediary combines the digital customer experience with its local financial advisers Germany-wide in an intelligent way. In 2022 the company became part of the Bilthouse Group.
Vantis,https://www.vantis-health.com/de/,2021,"Vantis enables continuous patient-centred treatment of heart disease through a mobile app personalised for each patient, continuous measurement of relevant vital signs through devices with dedicated Vantis integration and therapy monitoring with automated data analysis complemented by the doctor in the background."
