Company Name,Startup Link,Location,Description
21 Shares,https://21shares.com,"Zurich, Switzerland","The World�s First Listed Crypto Index Product.Zurich, Switzerland21shares.com"
Coinbase,https://www.coinbase.com/,"San Francisco, CA","Easiest and Most Trusted Place to Buy, Sell, and Manage your Digital Currency.San Francisco, CAcoinbase.com"
Etherscan,https://etherscan.io/,"Kuala Lumpur, Malaysia","The Ethereum Block Explorer.Kuala Lumpur, Malaysiaetherscan.io"
Unstoppable,https://unstoppabledomains.com/,"San Francisco, CA","Domain Names on the BlockchainSan Francisco, CAunstoppabledomains.com"
FitXR,https://fitxr.com/,"London, England","Creating Immersive Fitness Apps.London, Englandfitxr.com"
SideQuest,https://sidequestvr.com,"Belfast, Northern Ireland","The Early Access Platform for Virtual Reality.Belfast, Northern Irelandsidequestvr.com"
Wave,http://thewavevr.com/,"Los Angeles, CA","World's Most Interactive Virtual Concerts.Los Angeles, CAwavexr.com"
DeepGram,https://www.deepgram.com/,"San Francisco, CA","Turn Voice into Value.San Francisco, CAdeepgram.com"
Dynomics,https://dynomics.com,"Brisbane, Australia","Transformative therapies for the heart.Brisbane, Australiadynomics.com"
InterVenn,https://intervenn.bio/,"San Bruno, CA","Epiproteomics & Deep Learning for Cancer Diagnostics and Drug Discovery.San Bruno, CAintervenn.bio"
Radiant,https://www.radiantnuclear.com,"El Segundo, CA","Making Nuclear Power Portable.El Segundo, CAradiantnuclear.com"
Venus,https://www.venusaero.com,"Houston, TX","Building a Space Plane that Enables One Hour Global Travel.Houston, TXvenusaero.com"
Volley,https://volleythat.com/,"San Francisco, CA","Voice-Controlled Games for Alexa and Google Home.San Francisco, CAvolleythat.com"
Cobalt,https://cobalt.io/,"San Francisco, CA","Crowdsourced Pen Testing for Modern SaaS Businesses.San Francisco, CAcobalt.io"
Covalent,https://www.covalent.xyz,"Toronto, Canada","Open Source, Distributed Workflows for Heterogenous Computing. Toronto, Canadacovalent.xyz"
Additive Space,https://additivespacetech.com,"Berkeley, CA","Advancing Manufacturing to Advance Humanity.Berkeley, CAadditivespacetech.com"
Argo,https://www.argospace.com,"Hermosa Beach, CAargospace.com","Making In-Space Transportation Abundant.Hermosa Beach, CAargospace.com"
Care Weather,https://careweather.com/,"Provo, Utah","High-refresh, HD Satellite Monitoring of Global Sea Winds for Sailors.Provo, Utah careweather.com"
Exclosure,https://exclosure.io,"San Francisco, CA","Building a Fast, Accurate, Optical Space Observing Network to Produce Ground Truth Data about Space.San Francisco, CAexclosure.io"
Gravity,https://gravity.co/,Britain,Pioneering Aeronautical Innovation.Britaingravity.co
JetPack Aviation,https://www.jetpackaviation.com/,"Los Angeles, CA","Leaders in Personal VTOL Flight.Los Angeles, CAjetpackaviation.com"
K2 Space,https://www.k2space.com,"Los Angeles, CA","Building Large Satellites for a Post-Starship Future.Los Angeles, CAk2space.com"
Kubos,https://www.kubos.com/,"Lake Oswego, OR","Controlling Satellites from a Browser.Lake Oswego, OR kubos.com"
Launcher,https://launcherspace.com/,"Brooklyn, NY","Develops the World�s Most Efficient Rockets and Transfer Vehicles to Deliver Small Satellites to Orbit.Brooklyn, NYlauncherspace.com"
Payload Space,https://payloadspace.com,Outer Space,We Cover the Business and Policy of Space.Outer Spacepayloadspace.com
Radiant,https://www.radiantnuclear.com,"El Segundo, CA","Making Nuclear Power Portable.El Segundo, CAradiantnuclear.com"
Sceye,https://www.sceye.com,"Moriarty, NM","A New Generation of HAPS.Moriarty, NMsceye.com"
Source,https://www.sourceco.space,"Berthoud, CO","The Energy Company in Space.Berthoud, COsourceco.space"
Starfish Space,https://www.starfishspace.com/,"Seattle, WA","On-Orbit Transportation Service. Seattle, WAstarfishspace.com"
TensorFlight,https://www.tensorflight.com/,"Mountain View, CA","Satellite and Street View Imagery Automated Analysis for the Insurance Industry.Mountain View, CAtensorflight.com"
Space DOTS,https://space-dots.com,"London, UK","The New Paradigm for Qualifying Advanced Materials in Space. London, UKspace-dots.com/"
TRL11,https://www.trl11.com,"Irvine, CA","Makes Cutting Edge Video Solutions for Several Aerospace Applications.Irvine, CA trl11.com"
Venus,https://www.venusaero.com,"Houston, TX","Building a Space Plane that Enables One Hour Global Travel.Houston, TXvenusaero.com"
Data Lake,https://data-lake.co,Decentralized,The Key to Unlocking Medical Data. Decentralizeddata-lake.co
Molecule,https://www.molecule.to,"Berlin, Netherlands","A Decentralized Biotech Protocol, Building a Web3 Marketplace for Research-Related IP. Berlin, Netherlandsmolecule.to"
Cellular Vehicles,https://www.cellularvehicles.com,"San Mateo, CA","Enabling Next-Generation Cell Therapy.San Mateo, CAcellularvehicles.com"
Colossal,https://colossal.com,"Dallas, TX","Solving the Colossal Problem of Extinction.Dallas, TXcolossal.com"
Dynomics,https://dynomics.com,"Brisbane, Australia","Transformative therapies for the heart.Brisbane, Australiadynomics.com"
GigaMune,http://www.gigamune.com,"San Francisco, CA","Cell Therapy without the Cells.San Francisco, CAgigamune.com"
HumanFirst,https://elektralabs.com,"Boston, MA","Enables Safe, Effective, and Equitable Healthcare Operations at Home.Boston, MAgohumanfirst.com"
Impli,https://www.implihealth.com,"London, UK","Making IVF Treatment more Efficient by Providing Real-Time Hormone Monitoring through an Implantable Device.London, UKimplihealth.com"
ImYoo Health,https://imyoo.health,"South San Francisco, CA","Debugging the Immune System with Studies from Home.South San Francisco, CAimyoo.health"
InterVenn,https://intervenn.bio/,"San Bruno, CA","Epiproteomics & Deep Learning for Cancer Diagnostics and Drug Discovery.San Bruno, CAintervenn.bio"
Neurosity,https://neurosity.co,"Brooklyn, NY","Shift into Focus. Brooklyn, NYneurosity.co"
New Culture,https://newculturefood.com,"San Francisco, CA","Cow cheese without the cow.San Francisco, CAnewculturefood.com"
Optimism Health,https://www.optimism.health,"San Francisco, CA","A Social Subscription Product Helping Parents Achieve Personalized Health Goals.San Francisco, CAoptimism.health"
ProtonIntel,https://www.protonintel.com,"Vancouver, Canada","The First Real-Time Potassium Wearable Monitor for Kidney and Cardiovascular Care. Vancouver, Canadaprotonintel.com"
SFA Therapeutics,https://sfatherapeutics.com,"Jenkintown, PA","A New Paradigm for Treating Chronic Immatory Disease. Jenkintown, PAsfatherapeutics.com"
Shift Bioscience,https://www.shiftbioscience.com,"Cambridge, UK","Safe Cellular Rejuvenation by Active Machine Learning for Prime of Life Span.Cambridge, UKshiftbioscience.com"
TIBU Health,https://www.tibu.africa,"Nairobi, Kenya","We Deliver Healthcare where you Live, Work and Click.Nairobi, Kenyatibu.africa"
EcoSapiens,/portcos-1/dnhkdk4ys98zqnpjjhsh1518epih9y,"San Francisco, CA","NFTs that Fight Climate Change.San Francisco, CAecosapiens.xyz"
Aquaai,https://aquaai.com,"San Diego, CA","Robotic Fish-As-A-ServiceSan Diego, CAaquaai.com"
Blue Ocean Gear,https://blueoceangear.com,"Redwood City, CA","IoT Gear Tracking Technology for Ocean BusinessesRedwood City, CAblueoceangear.com"
Coral Vita,https://coralvita.co,"Freeport, Grand Bahama","Restoring our world�s dying reefs. Freeport, Grand Bahamacoralvita.co"
Flux Marine,/portcos-1/eyatwdpr18yi2hdp3dvwryozuf3pzz,"Bristol, RI","The Developer of All-Electric Outboard Motors and Battery Systems for Watercraft.Bristol, RIfluxmarine.com"
Hullbot,https://www.hullbot.com,"Sydney, NSW, Australia","Autonomous Robots for Healthy Oceans.Sydney, NSW, Australiahullbot.com"
Manolin,https://manolinaqua.com,"Bergen, Norway","Building Disease Detection Models to Fuel Sustainability in Aquaculture.Bergen, Norwaymanolinaqua.com"
Navier,https://www.navierboat.com,"San Mateo, CA","We're building the boat of the future.San Mateo, CAnavierboat.com"
Neptune,https://www.oneforneptune.com/,"Seattle, WA","Transforming Seafood with Sustainable Ocean Snacks.Seattle, WAoneforneptune.com"
ShipIn,https://shipin.ai,,"Maritime Vessel Monitoring and Safety Systems.Newton,MAshipin.ai"
Boundless Robotics,https://annaboto.com,"Boston, MA","The Technology Capable of Enabling People to Effortlessly Grow 5% of their Food at Home.Boston, MAannaboto.com"
Foxglove,https://foxglove.dev/,"San Francisco, CA","Robotics Visualization and Debugging. San Francisco, CAfoxglove.dev"
Halo,https://halo.car,"Las Vegas, NV","The Electric Car that Drives to you.Las Vegas, NVhalo.car"
