Company Name,Link,Description,,,
deep visitor,https://www.auravisionlabs.com/,Deep visitor analytics from any camera.,,,
Avocarrot,https://www.avocarrot.com/,"Avocarrot is the leading programmatic native ad exchange & mediation solution for mobile publishers, acquired by Glispa.",,,
Beem,https://wearebeem.com/,"Beem is a leading employee platform designed to intelligently enhance frontline comms, and boost employee engagemen",,,
Cashew.ai,https://www.cashew.ai/,"Cashew.ai offers ad experiences delivered through smart speakers, a new type of ad format built specifically for voice.",,,
Cooala,https://cooala.com/home/init,"Cooala enables you to publish your own snackable content, bringing user generated content and all your social networks into one place.",,,
Edgify,https://www.edgify.ai/,"Edgify allows any company, from any industry, to train complete DL and ML models, directly on their own edge devices. Reaching close to perfect accuracy, without the need to transfer any of the data to the cloud.",,,
Frenzi Media,http://www.getfrenzi.com/,Frenzi Media is the fastest and easiest platform for brands to build and publish engaging interactive ad campaigns in mobile and online.,,,
Gladcloud,http://gladcloud.mobi/,Gladcloud is an enterprise SaaS platform for brands and services in the global convenience economy to drive increased revenue across their network of local affiliates!,,,
Good-Loop,https://www.good-loop.com/,"Good-Loop unites brands, publishers and people in the shared endeavour of converting advertising money into charitable donations.",,,
Greenstory,https://www.greenstory.ca/,Greenstory is a consumer engagement platform for responsible businesses.,,,
LivingLens,http://livinglens.tv/,"LivingLens transforms how brands unlock insights and make customer led decisions by providing the ability to capture, search and analyse multimedia content.",,,
Locomizer,http://locomizer.com/,"Locomizer enables you to reach your audience using a set of Cloud based, real-time data APIs powered by its core geo-behavioural user interest profiling technology.",,,
Miappi,https://miappi.com/,"Miappi is your social wall, displayed on any website or digital screen, where you can collect and curate your best UGC.",,,
Neosound,http://neosound.eu/,"Neosound turns emotions into valuable data for call-centers, amongs other things.",,,
Powr,https://www.powrofyou.com/, of You is a consumer data hub that helps people make money from their online activities.,,,
Rad.ad ,http://rad.ad/,"Rad.ad doubles the performance of your digital banner advertising. We make your display ads come alive with real time data, live prices, live stock levels and even countdown timers.",,,
RapidPricer,http://rapidpricer.nl/,RapidPricer utilizes deep learning algorithms and machine vision to dynamically price and promote retail products.,,,
Seenit,https://seenit.io/,Seenit helps brands and organisations to create video with their audiences. Fans and employees become mobile film crews at your fingertips with an easy-to-use app.,,,
Survey54,http://survey54.com/,Survey54 is an automated survey platform that allows companies to do market research instantly within emerging markets.,,,
Threedium,https://threedium.co.uk/,"Threedium creates memorable brand experiences, drives product consideration, and delivers conversions through interactive 3D technology.",,,
Turff,https://www.turff.nl/,Turff is a software platform for financial management of consumer products.,,,
Unrival,http://unrival.net/,"Unrival helps brands develop, refine and execute their sales and marketing strategy through deep-dive analysis.",,,
Vurdere,https://www.vurdere.com/en,Vurdere turns e-commerce into vibrant communities.,,,
Yoke,http://yokenetwork.com/,Yoke helps apps to reach millions of people and grow efficiently.,,,
