Company Name,Company Description,Company Link
AIFluence,Africa's 1st AI-Driven Influencer Marketing Platform,https://www.ai-fluence.com
AWAN,AW:AN (As We Are Now) is a tech-driven DTC brand on a mission to redesign comfortable clothes for women.,https://www.aswearenow.co
Aival,"Evaluation and monitoring of healthcare imaging AI products. Our software enables clinicians and decision-makers to rapidly evaluate different products and choose the ones which offer greatest clinical benefit for their patients, and to ensure continued performance and fairness while in use.",https://www.aival.io/
Allihoop,Allihoop  is a technology enabled co-living brand offering flexible urban living in cities for professionals on the move.,https://www.allihoop.se
Anyone,"Anyone is an audio app for advice on-demand that’s setting out to reinvent the phone book as we know it. All voice calls are 1:1 and five minutes long – short enough to connect with someone without having to go through their inbox or calendar, and structured enough to get advice around a specific topic. This creates direct access to inspiring but busy people who are finally able to pick up the phone – either for a set price per call, or just because they want to give back.",https://www.anyo.ne
April Labs,"April works with local content creators to promote vacant real estate and local businesses to a younger, mobile audience through short, engaging walkthrough videos and content styles.",https://www.theaprilapp.com
ArtWallStreet,ArtWallStreet helps brands easily launch their NFT collections.,https://www.awst.io
Biogenes Technologies,Diagnostics simplified.,https://www.biogenestech.com
Break the Love,"Unlocking access to group-based tennis activities for players of all levels to learn, train, and compete in a more affordable way while enabling independent coaches to earn more income with flexibility.",https://www.breakthelove.com
Breathonix,Breath Tests for Disease Detection,https://www.breathonix.com
Brick,"Brick is a financial data application programming interface (API) that allows developers to offer in-app financial services ranging from data, to insights, Payments, personalised Finance. Their 1st product - Brick Data API - instantly gives any tech company in ASEAN access to their user’s local digital financial accounts via bank a/c, telco, e-wallet, e-commerce and super app data.",https://www.onebrick.io
Buddywise,Buddywise uses computer vision and machine learning to improve and automate industrial safety monitoring and risk mitigation.,https://www.buddywise.co
Caria,"Caria is a digital health platform that helps women in menopause connect with experts, a community, and evidence-based support",https://www.hellocaria.com
CloudOlive,Orchestrating the SaaS ecosystem. Discover. Purchase. Optimise.,https://www.cloudolive.com
Day One,"The product mission is to allow offline businesses to do staff training, management and uphold operational excellence remotely.",https://www.weareday.one
Dolprop,"Dolprop is on a mission to develop the most efficient, green and silent marine propulsion system, replacing conventional propellers",https://www.dolprop.se
Evyon,"Evyon's mission is to enable maximum value from second life EV batteries by repurposing them in a streamlined, safe, and cost-effective way.",https://www.evyon.com
Flow of Work Co,We are a talent insights and opportunity marketplace platform that helps future thinking companies develop and retain their people by providing tools for HR and people leaders to manage employee career progression at scale.,https://www.flowofwork.co
Glaize,Glaize is a D2C brand reinventing women's nail care through technology and science starting with our made-to-measure gels.,https://www.glaize.co
Glint Solar,We are building the world's leading solar prospecting SaaS platform to help solar developers identify and analyze where to build utility-scale solar parks.,https://www.glintsolar.ai
