Company Name,Description,Link
http://www.adheretech.com,"AdhereTech makes patented smart pill bottles to improve medication tracking and adherence. AdhereTech's bottles are currently being used by patients via engagements with top pharma companies and research organizations. The bottles are built with cellular technology, and they automatically send adherence data to AdhereTechâ€™s servers, where analysis occurs in real-time. If a dose is missed, AdhereTechâ€™s system immediately reminds the patient and/or caregiver via automated phone call or text message â€“ as well as on-bottle lights and chimes. If the system notices prolonged non-adherence, it can solicit feedback from patients via text or phone call to immediately understand the reasons for non-adherence, and intervene accordingly. Inquiries are always welcome.",http://www.adheretech.com
http://www.myAidin.com,"Aidinâ€™s mission is to improve the quality of post-acute care that our mothers, fathers, wives, husbands and even we ourselves will one day receive. Aidin is a community of hospitals, every Medicare certified post-acute provider, and their patients who commit to a revolutionary set of rules and tools that optimize patient transitions to post-acute care and improve the quality of post-acute care among your area providers.",http://www.myAidin.com
http://www.allazohealth.com,Allazo Health is an analytics company that solves the problem of medication non-adherence for health insurers and Pharmacy Benefit Management companies (PBMs). Our AllazoEngine leverages existing member data to both anticipate medication non-adherence and predict the most effective and cost-efficient intervention strategy for each individual.,http://www.allazohealth.com
http://iMedicare.com,"iMedicare helps pharmacies attract new patients with an effective Medicare plan comparison platform. We have nearly 2,000 pharmacies as paying customers and are profitable with over 100,000 patient comparisons done last year. We are growing fast to help pharmacies and patients reduce the cost of Medicare.",http://iMedicare.com
http://www.credsimple.com/,"Hospitals and home health providers spend thousands of dollars each year to ensure their nurses, physicians, and other staff maintain their credentials.  With the adoption of ACA there are even more regulations that the hospitals must follow to maintain compliance.  CredSimple provides a simple, online platform where a health provider can manage the credentialing requirements of all of its staff.",http://www.credsimple.com/
ArtemisHealth.com,"Artemis helps self-insured employers reduce healthcare spending by turning their health claims and assessment data into insights.  The Artemis Platform combines big data and speed-of-thought data visualizations to guide benefits managers directly to the insights that will save them the most money.  Artemis anticipates 350,000 lives on the platform by the end of 2013.",ArtemisHealth.com
https://avail.io/,Nurep has reinvented the way medical procedures occur in our nationâ€™s hospitals by allowing medical device reps to support physicians in the operating room remotely using an off-the-shelf tablet computer.,https://avail.io/
https://bind-health.com,"Bind provides a plug-and-play solution to help genetic-testing labs offer tests direct-to-consumer. Bind makes it easy for labs to collect orders, comply with state regulations, deliver test results and provide genetic counseling to patients. In order to do that, the company developed an e-commerce infrastructure to meet the specific requirements of genetic testing, a process to authorize test requests with physicians, and a countrywide network of licensed genetic counselors to provide support. There's no up-front cost or change in workflow for labsâ€“they pay an annual licensing fee plus a fee per test.",https://bind-health.com
http://bluemesahealth.com,"Blue Mesa Health helps employers reduce claims costs associated with diabetes, with a digital diabetes prevention program called Transform.  Blue Mesa competes with Omada health, providing a more affordable diabetes prevention program, but generates the same outcomes.  Blue Mesa has already signed a 20,000 person employer and is being distributed via a large Anthem plan.",http://bluemesahealth.com
http://boardvitals.com,"Board Vitals offers question banks that prepare physicians and nurses for specialty examinations. Board Vitals brings together content from major publishers, universities, and individuals on an ongoing basis, making Board Vitals the largest and most up to date training ecosystem in medicine. Clients include Harvard, Yale, and the VA Hospital System. The business reached a $1M run rate in 2014.",http://boardvitals.com
