Company Name,Company Link,Description,Location
1DocWay,https://genoatelepsychiatry.com/,1DocWay (acquired in 2015 by Genoa) developed a national telepsychiatry network to help improve access to psychiatric care.,"New York, NY"
Agathos,https://www.agathos.io/,"Agathos has developed an analytics platform and engagement tool that collects and reports data on individual physician performance. Initially focused on hospitalists, the platform delivers actionable insights in real time.","San Francisco, CA"
Alio,https://www.graftworx.com/,"Alio (formerly Graftworx) is bridging the communication gap between patients and clinicians, by developing ""smart"" wearables and implantables for dialysis and peripheral arterial disease patients.","Menlo Park, CA"
Allevi,https://allevi3d.com/,"Allevi (formerly) BioBots offers a revolutionary desktop 3D printer for biomaterials. They use a combination of hardware, wetware, and software to enable users to biofabricate live tissue for various uses.","Philadelphia, PA"
AMOpportunities,https://www.amopportunities.org/,AMOpportunities’ web-based platform enables US medical education programs to offer on-demand clinical rotation opportunities to thousands of international medical students. The platform facilitates program administration by vetting credentials and processing payments.,"Chicago, IL"
Asparia,https://www.asparia.com/,"Asparia enables providers to deliver scalable, individualized patient engagement through an automated SMS messaging platform that fully integrates with the EHR. The platform unburdens hospital staff by automatically recognizing and prompting patients with actionable appointment reminders and interactive care notifications from vaccines to colonoscopies while enabling self-scheduling.","Saratoga, CA"
Asserta Health,https://assertahealth.com/,"Asserta Health provides a payment platform that enables a direct financial relationship between employee health plans and their contracted providers in which providers are paid 100% of the cash price on the date of service, including any consumer responsibility.","Salt Lake City, UT"
BabyLiveAdvice,https://babyliveadvice.com,"BabyLiveAdvice (BLA) is an integrated maternal telehealth solution that improves maternal-infant health outcomes while decreasing clinician burnout. BLA’s platform and services improve care access and delivery of health education to ensure smooth care transitions from preconception to infancy. The result is reduced cost and risk for the provider, improved health outcomes, and higher patient satisfaction.","Los Angeles, CA"
Biomeme,https://biomeme.com/,Biomeme is a real-time PCR thermocycler that attaches to iPhones and enables DNA diagnostics and disease surveillance. The mobile app controls the system and analyzes the results to identify pathogens or diseases by their DNA or RNA.,"Philadelphia, PA"
Biorealize,http://www.biorealize.com/,"Biorealize makes low-cost, easy-to-use, portable tools for designing and growing organisms for novel biotech applications.","Philadelphia, PA"
BrainCheck,https://braincheck.com/,"BrainCheck provides rapid, mobile cognitive assessment and decision support technology to physicians, empowering them to deliver high-quality, personalized cognitive health care to patients everywhere and get reimbursed.","Houston, TX"
CareAdvisors,http://www.care-advisors.com/,"CareAdvisors’ platform quickly identifies untapped funding sources including Medicaid, COBRA, health benefit programs, and others to reduce uncompensated care costs.","Chicago, IL"
CareAlign,https://carealign.ai/,CareAlign reimagines interdisciplinary care coordination by providing real-time data in an intuitive display coupled with robust task management tools.,"Philadelphia, PA"
Care Signal,https://www.caresignal.health,Care Signal improves chronic disease management efficiency and outcomes with evidence-based remote monitoring via automated text messages and phone calls.,"St. Louis, MO"
Ceresti,https://www.ceresti.com,Ceresti’s digital caregiver platform activates and educates family caregivers of frail elderly Medicare beneficiaries. The platform enables caregivers to proactively identify emerging risk factors and changes in condition before they become critical events. Clinical study outcomes demonstrated an 80% reduction in hospitalizations and a 50% reduction in medical costs versus a matched comparison group.,"Carlsbad, CA"
CircleLink Health,http://www.circlelinkhealth.com/,CircleLink helps doctors earn up to $18B+ of preventative Medicare reimbursements by engaging their patients between office visits using a network of certified nurses and empowering the doctor to provide their patients with proactive care instead of traditional reactive care.,"Stamford, CT"
Citus Health,https://www.citushealth.com/,Citus Health offers a suite of workflow automation and remote patient support software solutions that makes home healthcare less cumbersome and stressful for patients and enables providers to more cost-effectively deliver superior patient support.,"New York, NY"
Curbside Health,https://curbsidehealth.com,"Curbside empowers hospital systems to drive provider adherence to care pathways in real time at the point-of-care. The platform’s collaborative drag-and-drop interface enables rapid development, implementation, and deployment of care pathways across clinical teams. The result is an 80% reduction in time to develop care pathways, greater adherence to evidence-based protocols, and reduced variability.","San Fransisco, CA"
Cylera,http://www.cylera.com/,"Cylera uses machine learning-powered solutions to defend medical devices from cyber attacks, including zero day exploits, data breaches, and ransomware.","New York, NY"
Digitize.ai,https://www.digitize.ai/,"Digitize.ai (acquired) saves hospitals time and decreases labor costs by automating the back office prior authorization process, a series of approvals medical centers and hospitals must receive before performing surgery, prescribing specialty medications, or administering expensive diagnostic tests.","Charlotte, NC"
