Company Name,Company Link,Description,Location,Founder Email
Acquaintable,,"Acquaintable makes meeting new people fun, easy and personal. Friends of friends are the hidden gems in any social circle; Acquaintable enables members to uncover them, creating deep and valuable connections to new relationships and experiences.
Founders: Joel Rodriguez, Peter Boling",Consumer,
Admittedly,,"Admittedly is an online college advisory platform that increases students’ chances of admission to their ideal schools, and makes parents’ lives and guidance counselors’ jobs easier. We show students their chances of admission through personalized “admittedly Scores” and provide customized recommendations for improvement.
Founders: Jessica Brondo, Emily Cole",Consumer,
advisorCONNECT,,"advisorCONNECT is a network intelligence platform that helps financial sales professionals identify and engage with new clients. The platform provides tools to identify qualified prospects, referrals and centers of influence and leverages a proprietary data model to recommend the right products and services.
Founders: Jimmy Lyons, Jeffrey Tompkins
founders@advisorconnect.co

@advisor_CONNECT",Enterprise,
Agave,https://www.agave.gg/,"Agave is a blockchain game analytics engine. Our B2B software empowers Web3 games to better understand player behavior and improve gameplay through on-chain data-driven insights. By providing analytics of the economic activity outside of the game, we fuel the future gaming experience.
Founders: Isaac Dubuque, Nico Ramirez
founders@agave.gg

Website
@agave_gg",Enterprise,
Agilis,https://www.agiliscommerce.com/,"Agilis is a B2B commerce platform for the chemical distribution industry. We help consolidate the industry’s fragmented supply chain, drive sales growth, and bring efficiencies to an antiquated procurement, sales, and marketing process. Agilis provides chemical producers with the tools and analytics they need to manage and optimize this highly-complex value chain.
Founders: Jay Bhatia
founders@agiliscommerce.com

Website",Enterprise,
Agolo,http://www.agolo.com,"Agolo uses artificial intelligence to create summaries from your information in real-time. We help readers get to the point faster, by applying the world’s most advanced summarization software to news, chat, voice, and video. The company’s AI platform can analyze thousands of documents and produce a summary of key points, specific to the reader’s interests, in real-time.
 Founders: Sage Wohns, Mohamed Altantawy
founders@agolo.com

Website
@agolo",Enterprise,
Air Tailor,http://airtailor.com/,"Air Tailor is an on-demand clothing alterations and repairs platform. Our network of vetted tailors lets us offer retailers and consumers nationwide service that’s quick, expert and convenient. Retailers partner with Air Tailor to provide a turnkey tailoring solution; consumers get an affordable, hassle-free experience delivered to their front door. 
Founders: Joshua Adam Brueckner, Brian D. Flynn
founders@airtailor.com

Website
@airtailor",Consumer,
Aires Medical,https://airesmedical.com/,"Aires Medical is a medical device company that has developed a handheld ventilator for COPD patients. The company’s miniaturized, lightweight respirator has a long-life battery and is the only portable ventilator that produces its own oxygen. Aries Medical improves the quality of life for people with respiratory disease, untethering them from breathing equipment that keeps them homebound.
Founders: Nicholas Oddo, Brent Wall
founders@airesmedical.com

Website",Consumer,
Alaffia Health,https://www.alaffiahealth.com/,"Alaffia Health is a technology company that automates health insurance claim audits. The combination of our technology and intuitive dashboard helps insurance companies instantly identify billing errors to reduce and recover overpayments. We replace slow, inefficient, and manual processes with real-time detection, review, and reporting.
Founders: TJ Ademiluyi, Adun Akanni
founders@alaffiahealth.com

Website",Enterprise,
Alt Legal,http://altlegal.com,"Alt Legal’s intuitive cloud-based software makes it easy to prepare and manage intellectual property. Our software is trusted by Am Law 200 firms, IP boutiques, and in-house legal departments to handle thousands of filings every day. Alt Legal automatically updates case statuses and deadlines, seamlessly collects key client details, and instantly generates IP filings.
Founders: Gabe Kneisley, Nehal Madhani
founders@altlegal.com

Website
@AltLegalHQ",Enterprise,
Alumni Spaces,http://alumnispaces.com,"Alumni Spaces is a platform for universities and their alumni associations to manage groups more effectively and expand their active donor base. We enable more coordinated engagement, allowing alumni communities on the national and local levels to better track their success, creating a superior solution for the $22B alumni relations market.
Founders: Rachel Anderson, Andrew Cafourek, Nick Trusty
founders@alumnispaces.com

Website
@AlumniSpaces",Enterprise,
Andiamo,https://andiamo.io/,"Andiamo combines AI, 3D simulation, and 3D printing to create Connected Personalized Bracing that reduces pain and increases mobility for children with cerebral palsy. Clinicians are able to provide braces that are lighter, fit better, and that kids love to wear. We enable efficiencies for clinicians and payers and improve outcomes for families, enabling better clinical decisions and making treatments—from bracing and physio to surgery—affordable.
Founders: Naveed R. Parvez, Samiya Parvez, Hugh Sheridan
founders@andiamo.io

Website
@AndiamoHQ",Enterprise,
API Fortress,http://apifortress.com,"API Fortress is an API “testing as a service” provider. We use our unique platform to test and monitor APIs, immediately notifying customers with detailed reports when an error or other issue occurs. API Fortress continuously monitors latency and validates the response of any API, making sure customers know there’s an issue before their users do.

Founders: Patrick Poulin
founders@apifortress.com


Website
@apifortress",Enterprise,
AppyCouple,http://www.appycouple.com/,"Appy Couple takes on the $50 billion wedding market with a platform that enables couples to create and publish their own mobile wedding app to share with guests. It’s private, it’s social, it’s mobile. Currently in private beta, Appy Couple has seen adoption already both in the U.S. and internationally.
Founder: Sharmeen Mitha-Sehgal
founders@appycouple.com

Website
@AppyCouple",Consumer,
Apteo,http://www.apteo.co/,"Apteo is a predictive buyer behavior platform for eCommerce businesses. We help growth professionals predict and optimize their user retention with machine learning and analytics.
Founders: Shanif Dhanani, Manan Shah
founders@apteo.co

Website
@ApteoAI",Consumer,
Architect Health,https://www.getarchitecthealth.com/,"Architect Health is a digital health care navigation platform. We help members find, access, and use telehealth apps and wearables through their health insurance. Our personalized machine learning platform unlocks the $115B market opportunity of empowering health plans with data to increase utilization of digital health solutions, sourcing new solutions that members want and will use, and accelerating solution adoption.
Founders: Sohum Shah, Sidd Hariharan
founders@getarchitecthealth.com

Website",Enterprise,
ArtistOnGo,https://www.artistongo.com/,"ArtistOnGo is a platform that lets hairstylists rent unused space in existing salons, allowing them to work independently with their clients and earn 3x more income, solving a $76B problem. We are live in New York City, where we are making salon access easier and cheaper for hairstylists.  Our founding team previously co-founded a premium salon chain with 350 salons worldwide, generating $1B+ in revenue.
Founders: Aarti Manwani, Dharmendra Manwani
founders@artistongo.com

Website
@artistongo on Instagram",Enterprise,
Arvia,https://arvia.tech/,"Arvia is a live video chat service that brings the physical store experience to online shoppers. We help e-commerce companies increase revenue with one-on-one video chat—right on the product page. E-commerce retailers use the power of visual communication to build trust and they see increased sales conversion up to 80% by adding a single line of code to their website.
Founders: Burhan Bozkurt, Ozge Bozkurt
founders@arviatech.com

Website
@arviatech",Enterprise,
Atlas Primer,https://www.atlasprimer.com/,"Atlas Primer is a mobile application using audio and conversational AI to make learning more efficient and effective for the 1 in 5 who think differently. Our software, combining AI with research-validated methods for neurodiverse learning, creates a 360° learning experience specific to users’ own educational materials. Atlas Primer accesses the $31B spent by parents and students on enrichment services and technologies to deliver significantly improved mastery and retention of course content.
Founder: Hinrik Josafat Atlason
founders@atlasprimer.com

Website",Enterprise,
Atomic Returns,https://www.atomicreturns.com/,"Atomic Returns is a SaaS platform that lets retailers optimize their online returns policies by product, category, place, and time. We also streamline the returns process through inventory tracking and shopper notifications. Atomic delivers a measurable ROI improvement for managing and accepting online returns.
Founders: Liesl Chang, Alex Bowman
founders@atomicreturns.com

Website",Enterprise,
Auto i,http://theautoi.com/,"Auto i is a smart camera and app that connects people to their vehicles. Auto i’s dash cam, with livestream auto surveillance technology, continuously detects and records impact vibrations ranging from break-ins to bumps. The system also allows drivers to trigger an alarm during dangerous non-impact situations—like tailgating—from inside the car.
Founders: Tom Santora, Rob Carpenito
founders@theautoi.com

Website",Enterprise,
BaristaValet,https://www.baristavalet.com/,"BaristaValet is an app-based virtual coffee shop platform for luxury residential buildings.  We deliver a premium lifestyle amenity – the essential local coffee-shop experience directly to renters’ doorsteps,  so they can save time and stay in.  Based on cost-efficient ghost cafes, BaristaValet scales quickly and helps property developers offer experiential F&B amenities and generate more revenue.
Founder: David Leong
founders@baristavalet.com

Website
ValetBarista",Enterprise,
Basepair,https://www.basepairtech.com/,"Basepair is a SaaS platform for genomic data analysis that lets researchers quickly analyze raw data. Our cloud-based software significantly reduces turnaround time for scientists from weeks to hours without sacrificing quality.
Founder: Amit Sinha
founders@basepairtech.com

Website
@basepairtech",Enterprise,
Beagle Labs,https://www.beaglelabs.ai/,"Beagle is a SaaS platform that streamlines the property and casualty claims process by connecting carriers, third-party administrators, litigation attorneys, and adjusters. Our machine learning algorithm enables claims to be closed in minutes reducing liability, fraud, and generating more profit across the entire property-claims process.
Founders: Dwight Neptune, Luis Guzman, Keelan Gale, Josie Madingo
founders@beaglelabs.ai

Website
@Beaglelabsai",Enterprise,
Bench AI,https://bench-ai.com/,"Bench AI is an MLOps platform that allows users to train, track, monitor, and deploy their machine learning models on the cloud, all without ever interacting with the cloud. Our SDK does all the heavy lifting, so users never waste time on cloud configuration, pipeline setup, and model monitoring.
Founders: Sriram Govindan, Aneesh Pothuru, Edgar Villanueva
founders@bench-ai.com

Website
LinkedIn",Enterprise,
Bespoke Post,https://www.bespokepost.com/,"Bespoke Post is a high-quality monthly subscription box service that gives members a “mini lifestyle upgrade” in each box. We partner with under-the-radar, small brands to bring you the most interesting and unique finds around.
Founders: Steven Szaronos, Rishi Prabhu
founders@bespokepost.com

Website
@bespokepost",Consumer,
