Company Name,Location,Sector,Startup Link
3DIMO,Africa,Food / Agriculture,https://www.3d-imo.com/
AbstractOps,US,Sales / Operations / Customer Service,https://www.abstractops.com/
AcadArena,Asia,Blockchain / Crypto / NFT / Web 3.0,https://www.acadarena.com/
Academlo,Latin America,Education / Personal & Professional Development,https://www.academlo.com/
Accomplish Health,US,Health & Wellness,#
Adaptive Live,US,Development Tools & Infrastructure,https://www.adaptive.live/
AgendaZap,Latin America,Communication / Collaboration / Productivity,https://agendazap.com/
Agot AI,US,Food / Agriculture,https://www.agot.ai/
Aireal,US,Real Estate / Housing,https://www.aireal.com/
Akiba Digital,Africa,Finance - Banking / Payments / Lending,#
Akord,Europe,Blockchain / Crypto / NFT / Web 3.0,https://akord.com
Alaffia,US,Health & Wellness,https://alaffiahealth.com/
Alariss,US,HR / Hiring / Employment,https://www.alariss.com
AllInfra,Asia,Data / Analytics / AI / ML,https://allinfra.com/
An Vui,Asia,Mobility / Transportation,https://anvui.vn/
Ando Foods,Africa,Food / Agriculture,https://www.andofoods.co/
Anja,US,Health & Wellness,https://www.anjahealth.com/
Anywhr,Asia,Travel / Hospitality,https://www.anywhr.co/
ApertureData,US,Data / Analytics / AI / ML,https://aperturedata.io/home
Archetype,US,Development Tools & Infrastructure,https://archetype.dev
Ardius,US,Finance - Banking / Payments / Lending,https://ardius.com/
Arnie,US,Finance - Investing,#
Art Central,Asia,Blockchain / Crypto / NFT / Web 3.0,https://artcentral.io
AssemblyDrop,US,Construction / Materials,#
Astra,US,Finance - Banking / Payments / Lending,https://astra.finance/
Athena Collects,US,Finance - Other,#
Autopilot,US,Education / Personal & Professional Development,https://autopilot.ooo
Badaboom,US,Retail / E-commerce,https://badaboom.ai
Basic Space,US,Retail / E-commerce,https://basic.space/
Basis,Asia,Finance - Other,https://www.getbasis.co/
BearTax,Remote,"Finance - Other,Blockchain / Crypto / NFT / Web 3.0",https://bear.tax
Become,Asia,Health & Wellness,#
Before Noon,US,Health / Fitness / Wellness,https://www.beforenoon.co/
Belanjaparts,Asia,Retail / E-commerce,https://www.belanjaparts.com/
BiFrost,Asia,Development Tools & Infrastructure,https://www.bifrost.ai/
Bicycle Health,US,Health & Wellness,https://bicyclehealth.com
Bildr,US,Blockchain / Crypto / NFT / Web 3.0,https://bildr.com
Billy,US,Construction / Materials,#
Binery,Asia,Finance - Other,http://binery.co/
Bingewave,US,"Development Tools & Infrastructure,Communication / Collaboration / Productivity",https://www.bingewave.com/
Bitesize,US,Advertising / Marketing,http://www.bitesize.co/
Block Tackle,US,Arts / Entertainment / Media / Sports & Gaming,#
Blockpunk,Asia,Arts / Entertainment / Media / Sports & Gaming,https://blockpunk.net/en
Bloom,Canada,Social Media / Networking,https://hellobloomers.com/
Book An Artist,Australia,Arts / Entertainment / Media / Sports & Gaming,https://bookanartist.co/
Boom Supersonic,US,Mobility / Transportation,https://boomsupersonic.com/
Boostcamp,US,Health / Fitness / Wellness,https://www.boostcamp.app/
Brass,Africa,Finance - Banking / Payments / Lending,https://www.trybrass.com/
Brave Care,US,Health & Wellness,https://www.bravecare.com/
Breadcrumbs,US,Sales / Operations / Customer Service,#
Brev,US,Development Tools & Infrastructure,https://brev.dev/
Bridge,Europe,Social Media / Networking,https://www.brdg.app
Bridgr,Canada,Manufacturing,https://bridgr.co/
Buffalo Market,US,Food / Agriculture,https://www.buffalomarket.com/
BukuKas,Asia,Finance - Banking / Payments / Lending,www.beecash.io
CALA,US,Arts / Entertainment / Media / Sports & Gaming,https://ca.la/
CanalCircle,Asia,Finance - Banking / Payments / Lending,https://www.canalcircle.com/
Canavi,Asia,HR / Hiring / Employment,#
Capway,US,Finance - Banking / Payments / Lending,#
Carbon Zero,US,Finance - Banking / Payments / Lending,https://carbonzero.cc
Carzuno,Asia,Mobility / Transportation,https://carzuno.com/choose-country
Casa,US,Construction / Materials,https://pros.casa/
Certify OS,US,Health & Wellness,https://certifyos.com/
Challenger,US,Finance - Banking / Payments / Lending,https://www.challengercash.com/
Channeled Software Inc,US,Sales / Operations / Customer Service,https://withchanneled.com/
Chatdesk,US,Data / Analytics / AI / ML,https://www.chatdesk.com/
ClaimCompass,Europe,Travel / Hospitality,https://www.claimcompass.eu/en/
Clockwork Labs,US,Sales / Operations / Customer Service,#
CoLearn,US,Education / Personal & Professional Development,https://www.colearn.com/
CodeCov,US,Development Tools & Infrastructure,https://codecov.io/
Cognicept Systems,Asia,Development Tools & Infrastructure,http://cognicept.systems/
Collective,US,Sales / Operations / Customer Service,https://www.collective.com/
Collider,US,Manufacturing,https://collidertech.com/
Combo,Canada,Arts / Entertainment / Media / Sports & Gaming,https://www.joincombo.com
CompScience,US,Manufacturing,https://www.kineticeye.io/
ComplyFly,US,Advertising / Marketing,https://loginhood.io/
Conductiv,US,Finance - Banking / Payments / Lending,#
Contra,US,HR / Hiring / Employment,https://contra.com/
Cooby,Asia,Communication / Collaboration / Productivity,https://www.cooby.co/
Copy AI,US,Advertising / Marketing,https://www.copy.ai/
Cosmic,US,Food / Agriculture,#
Covalent,US,Communication / Collaboration / Productivity,https://covalent.live/
Cyber Sierra,Asia,Security / Cybersecurity,#
Cyclic,US,Development Tools & Infrastructure,https://www.cyclic.sh/
DAO Exchange,Canada,Blockchain / Crypto / NFT / Web 3.0,https://daoexchange.app/
Daily Blends,Canada,Food / Agriculture,https://dailyblends.com/
DanteHQ,Asia,Finance - Other,https://www.dantehq.com/
Dat Bike,Asia,Mobility / Transportation,https://dat.bike/
DayOne,Asia,HR / Hiring / Employment,https://weareday.one/
Deft,US,Retail / E-commerce,https://hello.shopdeft.com/
Denticare,US,Health & Wellness,https://www.denticare.dental/
DesignPro,US,Development Tools & Infrastructure,https://www.designpro.ai/
Detail,Europe,Education / Personal & Professional Development,https://detail.co/
Doola,US,Communication / Collaboration / Productivity,#
Doorr (acq),Canada,Finance - Banking / Payments / Lending,https://doorr.com/
Doorstead,US,Real Estate / Housing,https://www.doorstead.com/
Dorothy,US,Finance - Insurance,#
Double Loop,US,Retail / E-commerce,#
Doyobi,Asia,Education / Personal & Professional Development,https://www.doyobi.com/
Drishyam AI (acq),US,Sales / Operations / Customer Service,https://drishyam.ai/
Dynamo Metrics (acq),US,Real Estate / Housing,#
EBanqo,Africa,"Sales / Operations / Customer Service,Communication / Collaboration / Productivity",https://www.ebanqo.com/
EFFI,Australia,Finance - Banking / Payments / Lending,#
Elfie,Asia,Health & Wellness,#
Empat Kali,Asia,Finance - Banking / Payments / Lending,#
Etho,US,Retail / E-commerce,http://www.etho.io/
Evernow,US,,#
Every Financial (acq),Canada,Finance - Banking / Payments / Lending,https://www.everyfinancial.com/
Fairmart,Asia,Advertising / Marketing,https://fairmart.app/
Fewcents,Asia,Advertising / Marketing,https://fewcents.co/
Fingo Africa,Africa,Finance - Banking / Payments / Lending,https://fingo.africa/
Fintor,US,Real Estate / Housing,https://fintor.co/
Finverse,Asia,Finance - Other,https://www.finverse.com/
Fixable,US,Construction / Materials,https://fixable.pro
FleetPanda,US,Logistics / Shipping,https://www.fleetpanda.com/
Fleeting Pro,US,Logistics / Shipping,https://www.fleeting.us/
Flexbase,US,Finance - Banking / Payments / Lending,https://www.flexbase.app/
Flow Club,US,Communication / Collaboration / Productivity,https://www.flow.club/
