"Company Name","Location","Status","Company Contact","Company Contact Title","Primary Sector","Primary Sub-Sector","Primary Focus","Primary Target/Tech/Product","Secondary Sector","Secondary Sub-Sector","Secondary Focus","Secondary Target/Tech/Product","Description","Problem","Solution","Tags","URL","QFC Awardee","Blue Knight","Site Head"
"1859","JLABS @ San Diego (San Diego)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","Microfluidic-enabled DNA Encoded Library Platform",,,,,"Microfluidic screening and chemistry methodology that can rapidly construct, screen, and deconvolute results on millions of individual small-molecule compounds.","Discovering chemical starting points for the generation of new medicines is a “needle-in-a-haystack” problem. Today companies rely on the use of large complicated robotic screening platforms and armies of scientists in order to overcome this issue; it’s expensive and takes a long time to find a quality lead compound suitable to launch a drug development program.","1859’s platform can screen compounds to rapidly identify functional activity on a drug target, surpassing the value of traditional target binding screens. Functional activity data reveals which compounds are most likely to impact disease biology. 1859’s rapid high throughput functional screening approach is also less expensive ($10K instead of $1M/screen today).  The platforms time and cost efficiency mean multiple functional assays can be run simultaneously to quickly sort thru to what is truly valuable (i.e. active and non-toxic drug candidates). 1859 intends to make drug discovery and lead identification capabilities feasible for every bench scientist.","Next-generation Therapeutics, Evolution, DELs, DNA-Encoded-Libraries, Microfluidics, Drug-resistant Cancer, Genomics, “omics”, Instrument, Platform","https://jnjinnovation.com/JLABSNavigator/company/1859","No","No",""
"48Hour Discovery","JLABS @ Toronto (Toronto)","Current Resident","","","Pharmaceuticals","Oncology","Prostate Cancer",,,,,,"48Hour Discovery is a leading peptide-based platform accelerating discovery of novel molecules for the delivery of therapeutic payloads, with a focus on bringing targeted radiopharmaceuticals to market faster than ever before.","-Drug discovery campaigns are slow, expensive, bespoke, and don't always work
-There is a significant gap in the market for the early discovery and development of novel radiopharmaceutical hits and leads. 
-There are significant unmet clinical needs in the oncology sector","-We're addressing the early discovery gap by leveraging our patented platform against 250 cancer targets, to drastically reduce the time, cost, and risk in discovery. 
-We're establishing partners and core capabilities to rapidly advance hits and leads to pre-clinical animal assays (e.g. Mouse PET scans) to streamline new pipeline development in the targeted radiopharmaceutical segment.
-Peptides offer improved clearance and higher affinity over antibodies, making them an ideal modality for radiopharmaceutical therapeutics and diagnostics. Radiopharmaceuticals have the potential to reduce the side effects of treatment while enabling even tiny deposits of cancers cells to be killed throughout the body. Our solution will ultimately offer patients access to better therapies and diagnostics sooner, extending their life spans while reducing the side affects associated with treatments.","phage display, peptide, platform, oncology, targeting molecules, AI, big data, drug discovery, radiopharmaceuticals","https://jnjinnovation.com/JLABSNavigator/company/48Hour_Discovery","No","No",""
"4D Molecular Therapeutics","JLABS @ MBC BioLabs SF (San Francisco)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","Gene Therapy","MedTech","Vision Care","Platform","Gene Therapy","4D Molecular Therapeutics designs, develops and commercializes transformative gene therapeutic products for serious unmet medical conditions. Their first indications are for retinal disease, Lysosomal Storage Disorders, Cystic Fibrosis and Duchenne muscular dystrophy.","Conventional clinical stage gene therapy products are based on AAV (Adeno-Associated Virus) vectors that are generally “wild-type” or primitive vectors, meaning they were found in nature as laboratory contaminants or as monkey infections. These first-generation AAV vectors, while generally safe and well-tolerated in patients, do not have optimized delivery properties (i.e. they are not targeted) and often require aggressive and/or invasive dosing to attempt the desired transduction of target cells.","Our robust discovery platform, termed Therapeutic Vector Evolution, is based on directed evolution, a technology that was awarded the Nobel Prize for Chemistry in 2018. Our platform empowers us to create customized gene delivery vehicles to deliver genes to any tissue or organ in the body, by optimal clinical routes of administration and with evasion of pre-existing antibodies. These proprietary and targeted products allow us to treat both rare genetic diseases and complex large market diseases. 4D is creating a diverse and deep product pipeline both through partnerships and wholly-owned 4D product development. 4D partners include: Roche (SIX: ROG; OTCQX: RHHBY), uniQure (QURE), AstraZeneca, Cystic Fibrosis Foundation; Pfizer Ventures is a shareholder.","Retina, Gene Therapy, Lung, Neuromuscular, LSD Rare Disease, Rare Disease","https://jnjinnovation.com/JLABSNavigator/company/4D_Molecular_Therapeutics","No","No",""
"7 Hills Pharma","JLABS @ TMC (Houston)","Current Resident","","","Pharmaceuticals","Oncology","Immuno-Oncology",,"Pharmaceuticals","Infectious Diseases","Pathogens of Global Concern",,"7 Hills Pharma is a clinical stage pharmaceutical company developing novel immunotherapies for the treatment of cancer and the prevention of infectious diseases.","1) aPD-1 drugs (Opdivo and Keytruda) are important pillars in the frontline management of advanced melanoma, lung, renal, colon and other cancers. However, these agents are limited by:
a) Effectiveness — Up to 85% of patients fail such therapies, and are left with limited options. As these drugs become more prevalent, the incidence of resistant patients will increase.
b) High cost — the retail cost of IO drug combinations can be as high as $270,000 per year, with >10% of patients declaring personal bankruptcy. aPD-1 drug resistance is due to limited immune cell priming, trafficking and killing efficiency. These non-immunogenic tumors are ‘cold’ because of the lack of tumor inflammation. There are intense efforts to improve effectiveness of aPD-1 drugs by combining them with agents that drive infiltration of tumoricidal cells by turning ‘cold’ tumor to ‘hot.’ The leading approaches are expensive, systemically toxic, and must be administered intratumorally by an interventional radiologist through costly procedures, as only 10% of patients have accessible tumors. For the other 90% of patients, our lead compound 7HP349 promises to be a simple, self?administrable, and systemically safe agent.

2) Many infectious disease vaccines have limited effectiveness due to a poor host immune response. This is especially the case with seasonal influenza vaccines for elderly (>65), the century-old tuberculosis vaccine (BCG), and is likely to be the case with SARS-CoV-2 vaccines for elderly. There are no adjuvant technologies that can augment a systemic immune response upon vaccination to increase the effectiveness.","7HP349 is a first-in-concept molecule that allosterically activates VLA-4 and LFA-1 on leukocytes and improves VCAM-1 and ICAM-1 cell adhesion on antigen presenting cells and endothelial cells.  In doing so, this systemic drug safely improves the effectiveness of IO drugs against solid tumors, and improves immunization against seasonal influenza, tuberculosis, and Chagas disease. We have recently launched a SARS-CoV-2 vaccine program and have initiated pre-clinical trials and are coordinating with clinical partners.","Immunotherapy, Immuno-oncology, Infectious Disease, Vaccine Adjuvant","https://jnjinnovation.com/JLABSNavigator/company/7_Hills_Pharma","No","Yes",""
"A2A Pharmaceuticals","JLABS @ NYC (New York City)","Alumni","","","Pharmaceuticals","Oncology","Platform","Target Identification","Pharmaceuticals","Data Science","Target Identification",,"A2A Pharmaceuticals cuts the time and cost of identifying drug-like lead compounds against difficult-to-drug targets using an innovative de-novo fragment-based discovery approach. Its proprietary SCULPT methodology leverages structural, biochemical, mutagenesis and ligand-binding data to design large virtual libraries of pre-optimized molecules with spatial and chemical features specific for each target. An iterative combination of docking and supervised machine learning guides library optimization and selects the best candidates for synthesis and pharmacological validation.","New drug candidates for life threatening diseases including cancer and bacterial infections need a novel approach for design and development. Rather than starting with known molecules, A2A uses proprietorial computer tools to pre-optimize target-specificity and ADMET properties for complex targets into candidates before in-vitro studies begin.","The disease targets for which A2A has developed new drug candidates have eluded competitors due to the complexity of the targets’ topography and challenges for drugs to reach and act at their target. The SCULPT process led by Dr. Chaemin Lim generates novel compounds uniquely suited to inhibit specific enzymes or proteins with properties to have the best chance of success in the clinic.","Oncology, Computational Drug Design, AI, Protein-Protein Interactions, Difficult to Drug Targets, Degradation","https://jnjinnovation.com/JLABSNavigator/company/A2A_Pharmaceuticals","Yes","No",""
"AAARNA THERAPEUTICS PRIVATE LIMITED","Virtual (Virtual)","Current Resident","","","Pharmaceuticals","Global Public Health","Dengue",,,,,,"Development of a programmable, broad spectrum antiviral therapeutics using mRNA expressed CRISPR-Cas13 protein against Flaviviruses. This technology can be adapted for multiple members of the Flavivirus family and other viruses.","Infectious diseases are one of the leading human health concerns. The current pandemic has caused more than 6 million deaths worldwide and more than 400 million confirmed cases. There are many such highly pathogenic viruses with high infection rate every single year including those from the family Flaviviridae for example, Dengue virus. Dengue viruses cause infection in humans via the bite of an infected Aedes species mosquito. Other mosquito species can also spread Zika, Japanese encephalitis virus, yellow fever and west Nile virus infections. As per the US Centre for Diseases and Control (CDC) each year, up to 400 million people get infected with dengue, with nearly 40,000 deaths with severe dengue. Dengue is caused by any one of the four related viruses: Dengue virus 1, 2, 3, and 4.  As per the National Center for Vector borne Disease control, more than 30,000 people were reported to be infected and 12 have died of dengue infections in 2022. Nearly 1 out of 20 people who get sick with dengue develop severe dengue. The symptoms of severe dengue include shock, internal bleeding and, in some cases death. Unfortunately, there is no specific treatment for dengue related sickness. Patients are usually only treated for symptoms. Similarly, Japanese encephalitis virus (JEV) is the main cause of viral encephalitis in many countries of Asia with an estimated 68 000 clinical cases every year. Around 3 billion people are at risk with JEV infection in the South-East Asia and Western Pacific regions as per the WHO. Other members of this family which pose threat to human health include dengue virus, Zika virus, West Nile virus, Japanese Encephalitis virus, yellow fever virus. Unfortunately, no specific treatment exists for any of these flavivirus infections, nor does a broad-spectrum antiviral that can be readily adapted to treat multiple flavivirus infections.","Infectious diseases are one of the leading human health concerns. The current pandemic has caused more than 6 million deaths worldwide and more than 400 million confirmed cases. There are many such highly pathogenic viruses with high infection rate every single year including those from the family Flaviviridae for example, Dengue virus. Dengue viruses cause infection in humans via the bite of an infected Aedes species mosquito. Other mosquito species can also spread Zika, Japanese encephalitis virus, yellow fever and west Nile virus infections. As per the US Centre for Diseases and Control (CDC) each year, up to 400 million people get infected with dengue, with nearly 40,000 deaths with severe dengue. Dengue is caused by any one of the four related viruses: Dengue virus 1, 2, 3, and 4.  As per the National Center for Vector borne Disease control, more than 30,000 people were reported to be infected and 12 have died of dengue infections in 2022. Nearly 1 out of 20 people who get sick with dengue develop severe dengue. The symptoms of severe dengue include shock, internal bleeding and, in some cases death. Unfortunately, there is no specific treatment for dengue related sickness. Patients are usually only treated for symptoms. Similarly, Japanese encephalitis virus (JEV) is the main cause of viral encephalitis in many countries of Asia with an estimated 68 000 clinical cases every year. Around 3 billion people are at risk with JEV infection in the South-East Asia and Western Pacific regions as per the WHO. Other members of this family which pose threat to human health include dengue virus, Zika virus, West Nile virus, Japanese Encephalitis virus, yellow fever virus. Unfortunately, no specific treatment exists for any of these flavivirus infections, nor does a broad-spectrum antiviral that can be readily adapted to treat multiple flavivirus infections.","","https://jnjinnovation.com/JLABSNavigator/company/AAARNA_THERAPEUTICS_PRIVATE_LIMITED","No","No",""
"Abilita Bio","JLABS @ San Diego (San Diego)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","Enabling Technology","Pharmaceuticals","Neuroscience","Platform","Enabling Technology","Improving the intrinsic properties of GPCR and ion channel drug targets to develop new protein-based methods that lead to novel, high-quality antibody or small-molecule leads.","Despite massive efforts by Pharma, only 15% of the 2000+ medically important membrane protein (MP) targets have been drugged, which leaves behind a tremendous therapeutic opportunity and a need for new technologies that can break the cycle of failure. The success of MP-targeted biologic discovery and development efforts has been even more dismal, as only two antibody therapeutics have been approved globally. Modern protein-based methods such as DNA-encoded small molecule library screening and in vitro antibody display, leverage the target protein itself to identify novel leads that are unobtainable by traditional cell-based screening methods. MPs are notoriously difficult to employ in these modern approaches, which require large quantities of functionally folded, pure and stable protein. Due to the typically low expression, conformational heterogeneity and poor stability of MPs when removed from the cell, protein-based discovery is largely inaccessible.","The Abilita Bio team is addressing the failure to drug MPs by leveraging their proprietary Enabled Membrane Protein (EMP™) technology, which uses directed evolution to transform the biophysical properties of the most challenging and medically important targets. The EMP™ technology can unlock novel protein-based discovery approaches, thereby providing access to hundreds of previously undruggable targets. This presents a tremendous opportunity to discover novel biologics and small molecules with a significant impact on diseases with unmet need like cancer, chronic pain, autoimmunity.","Membrane Protein, GPCR, Ion Channel, Drug Discovery","https://jnjinnovation.com/JLABSNavigator/company/Abilita_Bio","No","No",""
"Abterra Biosciences (fka Digital Proteomics)","JLABS @ San Diego (San Diego)","Alumni","","","Pharmaceuticals","Other (Pharmaceuticals)","Platform","Enabling Technology","Pharmaceuticals","Data Science","Enabling Technology",,"Abterra Biosciences is delivering the next generation of antibody therapeutics for oncology. Our platform, Alicanto®, mines the immune response of human survivors to discover effective, naturally optimized, therapeutics.","Antibodies are a rapidly growing class of therapeutics across a range of indications, including oncology, immunology, and infectious diseases.  Antibody therapeutics, previously developed primarily in rodents and then humanized, are becoming more ‘human’. Despite the success of human antibodies as therapeutics, the natural human immune system has been underutilized as a source of therapeutic candidates.  Humans survive a wide range of immunological challenges and produce antibodies that were crucial in overcoming the illness. At Abterra Biosciences, we have developed Alicanto® to discover antibodies from survivors to develop into therapeutics","Our goal is to interrogate the natural human antibody response directly to rapidly identify high-affinity antibodies for therapeutic, diagnostic, and research applications.  We leverage our expertise and intellectual property in mass spectrometry-based proteomics to deeply sample the antibodies generated by patients in response to disease.","Antibodies, Antibody, Sequencing, AI, Machine Learning, Proteomics, Serum Repertoire, MS, Mass Spec, Bioinformatics","https://jnjinnovation.com/JLABSNavigator/company/Abterra_Biosciences_%28fka_Digital_Proteomics%29","No","No",""
"Acaderma Shanghai Co. Ltd.","JLABS @ Shanghai (Shanghai)","Alumni","","","Consumer","Skin Health","Protected Skin",,,,,,"High efficacy clean beauty.","We target skin concerns including pigmentation disorder, inflammation, photoaging and wrinkles.","Novel, Better, Different actives and clean formula.  Novel: new compound or unique plant extracts fraction  Better: more potent and less irritation on skin, more stable in formula. Different: our solution doesn’t only target one traditional pathway. The action mechanism is different than many other bench marks.","Skin, Clean Beauty","https://jnjinnovation.com/JLABSNavigator/company/Acaderma_Shanghai_Co._Ltd.","No","No",""
"Acclinate Inc.","JLABS @ Washington, DC (Washington, D.C.)","Current Resident","","","Pharmaceuticals","Immunology","Platform","Platform Technology","Pharmaceuticals","Other (Pharmaceuticals)","Global Clinical Operations",,"Developed e-DICT, a HIPAA compliant platform utilizing predictive analytics & ML to identify diverse members who are most likely to participate in genomic research and clinical trials. Health equity is at the core of their platform and value-proposition is their education and longitudinal engagement..","Significant racial and ethnic disparities in maternal morbidity and mortality exist in the US. Immune-mediated diseases, such as Lupus, occur more frequently in BIPOC persons and contribute to the disparate outcomes observed in BIPOC pregnancies, including pre-term births, pre-eclampsia, fetal growth restriction and maternal mortality; however, BIPOC persons are typically underrepresented in biomedical research. There’s a need to better engage pregnant BIPOC persons and increase their clinical trial participation in order to inform development of novel therapies and improve health outcomes.","NOWINCLUDED is Acclinate's method for accessing, engaging, educating, and mobilizing communities of color to empower health-related decisions, including decisions around clinical trial participation. The NOWINCLUDED community consists of 19,000+ members via several mechanisms, including a digital social media platform, email correspondence, and traditional in-person engagement. By joining NOWINCLUDED, BIPOC persons are able to build trusting relationships, share health-related stories, and encourage one another. In turn, we educate NOWINCLUDED community members on a wide-range of important health topics, from specific diseases to clinical trial basics. NOWINCLUDED provides a unique and captive audience; there’s opportunity for targeted education, engagement, and insights-gathering related to maternal-fetal immune disorders and clinical trials to BIPOC women of child-bearing age. The data gathered can then be used to inform development of novel therapies for this population and guide them toward planned clinical studies. e-DICT is Acclinate’s patent-pending engagement analytics tool that is ""fueled"" by NOWINCLUDED. e-DICT uses artificial intelligence and machine learning to determine which NOWINCLUDED community members are most likely to participate in clinical trials. e-DICT generates a Participation Probability Index (PPI) score for members, based upon several factors such as social determinants and real-time engagement. So, after engaging and educating BIPOC community members on immune-mediated diseases of pregnancy, there is opportunity for research sponsors to see real-time reports of engagement and receive qualified potential patient leads for initial screening and enrollment of trials. Additionally, e-DICT's aggregate-level data may be used to guide trial site identification in BIPOC communities where there’s higher likelihood of participation willingness.","Acclinate, NOWINCLUDED, ClinicalTrials, ClinicalTrialDiversity, HealthEquity, InclusiveResearch","https://jnjinnovation.com/JLABSNavigator/company/Acclinate_Inc.","Yes","Yes",""
