Company Name,Description,Website
deepsight,"Founded in 2019, DeepSight Technology’s vision is to reinvent diagnostic imaging. DeepSight’s proprietary sensor technology delivers a quantum leap in performance that vastly extends the range of diagnostic medical ultrasound to benefit public health and well-being. DeepSight is headquartered in the San Francisco Bay Area with offices in St. Louis, Missouri.",https://deepsight.com/
Deerfield Catalyst,,https://www.dfcatalyst.com/
Dicerna Pharmaceuticals,"Dicerna Pharmaceuticals, Inc. (Nasdaq: DRNA) is a biopharmaceutical company focused on discovering, developing and commercializing medicines that are designed to leverage ribonucleic acid interference (RNAi) to silence selectively genes that cause or contribute to disease. Using our proprietary GalXC™ and GalXC-Plus™ RNAi technologies, Dicerna is committed to developing RNAi-based therapies with the potential to treat both rare and more prevalent diseases. By silencing disease-causing genes, Dicerna’s GalXC platform has the potential to address conditions that are difficult to treat with other modalities. Initially focused on disease-causing genes in the liver, Dicerna has continued to innovate and is exploring new applications of its RNAi technology with GalXC-Plus, which expands the functionality and application of our flagship liver-targeted GalXC technology to tissues and cell types outside the liver, and has the potential to treat diseases across multiple therapeutic areas. In addition to our own pipeline of core discovery and clinical candidates, Dicerna has established collaborative relationships with some of the world’s leading pharmaceutical companies, including Novo Nordisk A/S, Roche, Eli Lilly and Company, Alexion Pharmaceuticals, Inc., Boehringer Ingelheim International GmbH and Alnylam Pharmaceuticals, Inc. Between Dicerna and our collaborative partners, we currently have more than 20 active discovery, preclinical or clinical programs focused on cardiometabolic, viral, chronic liver and complement-mediated diseases, as well as neurodegenerative diseases and pain. At Dicerna, our mission is to interfere – to silence genes, to fight disease, to restore health.",https://dicerna.com/
Dracenpharma Pharmaceuticals,"Dracen Pharmaceuticals, Inc. is a privately held biotech company developing proprietary anti-cancer drugs that target immuno-metabolism. Dracen’s investors include Deerfield Management; Osage University Partners; and The Institute of Organic Chemistry and Biochemistry of the CAS (IOCB Prague). Dracen is headquartered in New York, NY with research operations in San Diego, CA.",http://www.dracenpharma.com/
Edgewisetx Pharmaceuticals,,https://edgewisetx.com/
Editasmedicine ,"As a leading genome editing company, Editas Medicine is focused on translating the power and potential of the CRISPR/Cas9 and CRISPR/Cas12a genome editing systems into a robust pipeline of treatments for people living with serious diseases around the world. Editas Medicine aims to discover, develop, manufacture, and commercialize transformative, durable, precision genomic medicines for a broad class of diseases.",https://www.editasmedicine.com/
Elementscience ,"Element Science, Inc. is a medical device and digital health company focused on developing solutions at the intersection of clinical-grade wearables, machine learning algorithms, and lifesaving therapies in order to address leading causes of death and hospitalization in patients with heart disease, primarily as they transition from the hospital-to-home. By putting the needs of patients and physicians first, our personalized digital devices, which are designed for function, comfort and ease-of-use, aim to redefine the paradigm of care for these patients. Our first product, a wearable patch defibrillator, is initially targeted at treating the more than 500,000 patients in the US with an elevated temporary risk of potentially experiencing a lethal heart rhythm. Based in San Francisco, our funders include Third Rock Ventures, Google Ventures, Deerfield Healthcare, Qiming Venture Partners USA, Cormorant Asset Management, and Invus Opportunities.",https://elementscience.com/
Encodia ,"Encodia is a privately held biotechnology company bringing the power of sequencing to proteomics. The company’s patented ProteoCode technology enables highly scalable protein analysis via an accessible and easy-to-use benchtop instrument. Tools employing Encodia’s ProteoCode technology will drive new biological understanding with impact in data-driven drug  discovery and development, new high complexity diagnostics, and beyond.",https://www.encodia.com/
Endologix LLC ,"Endologix LLC is a California-based, global medical device company dedicated to improving patients’ lives by providing innovative therapies for the interventional treatment of vascular disease. Endologix’s therapeutic portfolio includes a variety of products in various stages of development that are designed to treat diseases that currently have clinically relevant unmet needs. These products are designed to treat a wide spectrum of vascular disease from abdominal aortic aneurysms to lower limb peripheral vascular disease. Excellent clinical outcomes will be achieved through meticulous attention to product design, manufacturing, and training, all backed by industry-leading clinical evidence. Endologix’s current commercial EVAR products include the AFX®2 device and the ALTO® Abdominal Stent Graft System. Endologix became a private company, wholly owned by Deerfield Management on Oct. 1, 2020. On April 13, 2021 Endologix completed the acquisition of PQ Bypass, Inc., a privately held medical technology company pioneering a first-of-its-kind technology that addresses an unmet need for new treatments for severe peripheral arterial disease (PAD). The company has offices and manufacturing sites in Irvine and Santa Rosa.",https://endologix.com/united-states/
Epicsciences ,"Epic Sciences, Inc. is developing novel diagnostics to guide therapy selection and monitor disease progression, personalizing and advancing the treatment and management of prostate and breast cancer. The company’s liquid biopsy platform leverages proven and proprietary CTC capabilities, adds ctDNA and immune cell analysis, to provide more complete data for more efficient analysis and clearer insights – Comprehensive Cancer Profiling. Using its full-service CLIA/CAP-accredited laboratory and research support services in San Diego, Epic Sciences partners with leading pharmaceutical companies and major cancer centers around the world working to improve patient outcomes.",https://www.epicsciences.com/
Epionhealth ,"Epion Health is a leader in digital patient engagement solutions that empower providers to deliver high-quality care that’s convenient, accessible, efficient and profitable. Our secure, HIPAA-compliant platform makes it easy to connect with patients any time, from anywhere, at all points along the care journey. Epion’s commitment to innovation and exceptional customer service has made us a top-rated, trusted partner to healthcare organizations across the nation.",https://epionhealth.com/
Essapharma ,ESSA is a clinical-stage pharmaceutical company focused on developing novel and proprietary therapies for the treatment of patients with prostate cancer.,https://www.essapharma.com/
Farapulse ,"Today, all forms of cardiac ablation to treat arrhythmias are thermal. While both radiofrequency and cryo-ablation have evolved, they nonetheless carry an inherent risk of indiscriminate thermal damage. Tissue-selective FARAPULSE PFA has emerged to be one of the most promising energy sources for cardiac ablation, including pulmonary vein isolation to treat Atrial Fibrillation. Leading with safety, FARAPULSE PFA makes durable cardiac lesions in seconds while sparing non-target tissue. FARAPULSE is pioneering tissue-selective PFA therapy through development and commercialization of its dedicated generator (FARASTAR), PVI-focused catheter (FARAWAVE), large-area focal catheter (FARAFLEX), precision focal catheter (FARAPOINT) and a proprietary deflectable delivery sheath (FARADRIVE). The FARAPULSE PFA system, which includes FARAWAVE, FARASTAR and FARADRIVE, received CE mark approval in January 2021 and is commercially available across Europe.",https://www.farapulse.com/
Fogpharma ,"FogPharma’s mission is to drastically reduce the burden of disease on patients and their families by inventing new types of drugs that squelch abnormal physiological processes in ways previously imagined but considered unattainable. The company is pioneering the discovery, development and commercialization of Helicon™ peptides, a new class of drugs that uniquely combine the cell-permeability and oral dosing optionality of traditional small molecule drugs with the high specificity, broad target accessibility and rapid discovery arc of monoclonal antibody drugs.",https://fogpharma.com/
