Startup Name,Startup Link,Description
Cellarity,https://cellarity.com/,"Cellarity is a biotech startup that is a trailblazer in drug discovery, with a method of creating medicines that target cell behavior instead of just individual proteins. They work towards understanding how the disease impacts cell behavior instead of the traditional target-centric approach to drug discovery."
Cellarity,https://cellarity.com/,"Cellarity is a biotech startup that is a trailblazer in drug discovery, with a method of creating medicines that target cell behavior instead of just individual proteins. They work towards understanding how the disease impacts cell behavior instead of the traditional target-centric approach to drug discovery."
Kriya Therapeutics,https://kriyatherapeutics.com/,"Kriya Therapeutics develops gene therapy treatments that target diabetes, obesity, and other widespread diseases. They are revolutionizing how gene therapies are designed, developed, and manufactured, by working towards delivering significant reductions in the cost per dose and improving speed to market."
Kriya Therapeutics,https://kriyatherapeutics.com/,"Kriya Therapeutics develops gene therapy treatments that target diabetes, obesity, and other widespread diseases. They are revolutionizing how gene therapies are designed, developed, and manufactured, by working towards delivering significant reductions in the cost per dose and improving speed to market."
Bionaut Labs,https://bionautlabs.com/,"By using a precision-targeted medicine method to transform the way brain disorders are treated, Bionaut Labs took their place on the list of 19 revolutionary biotech startups. By creating a new medical modality of remote-controlled micro-robots called Bionauts, this biotech startup revolutionizes the treatment of CNS disorders."
Bionaut Labs,https://bionautlabs.com/,"By using a precision-targeted medicine method to transform the way brain disorders are treated, Bionaut Labs took their place on the list of 19 revolutionary biotech startups. By creating a new medical modality of remote-controlled micro-robots called Bionauts, this biotech startup revolutionizes the treatment of CNS disorders."
Spiderwort,https://www.linkedin.com/company/spiderwort/about/,Spiderwort�s proprietary technology uses cellulose-based biomaterials to engineer living scaffolds for a variety of groundbreaking regenerative medicine applications.
Spiderwort,https://www.linkedin.com/company/spiderwort/about/,Spiderwort�s proprietary technology uses cellulose-based biomaterials to engineer living scaffolds for a variety of groundbreaking regenerative medicine applications.
EQRx,https://www.eqrx.com/,"EQRx works on revolutionizing the medical industry by making drugs more affordable and drug pricing more transparent. Launched in January 2020, their mission attracts and empowers top experts and changemakers in the industry."
EQRx,https://www.eqrx.com/,"EQRx works on revolutionizing the medical industry by making drugs more affordable and drug pricing more transparent. Launched in January 2020, their mission attracts and empowers top experts and changemakers in the industry."
Orna Therapeutics,https://www.ornatx.com/,Orna Therapeutics is another revolutionary biotech startup you should know in 2022. The company is working on overcoming the issues related to linear messenger RNA (mRNA) therapeutic development by using advanced technology to develop oRNA therapies.
Orna Therapeutics,https://www.ornatx.com/,Orna Therapeutics is another revolutionary biotech startup you should know in 2022. The company is working on overcoming the issues related to linear messenger RNA (mRNA) therapeutic development by using advanced technology to develop oRNA therapies.
Endogena Therapeutics,http://endogena.com/,Endogena Therapeutics is a preclinical-stage biotech startup that triggers stem cells in the patient�s body to regenerate and repair damaged tissue with their AI-driven platform. They discover and develop first-in-class endogenous regenerative medicines to repair and regenerate tissues and organs.
Endogena Therapeutics,http://endogena.com/,Endogena Therapeutics is a preclinical-stage biotech startup that triggers stem cells in the patient�s body to regenerate and repair damaged tissue with their AI-driven platform. They discover and develop first-in-class endogenous regenerative medicines to repair and regenerate tissues and organs.
Omne Possibile,https://www.omnepossibile.com/,"New-to-nature nucleic acids (XNA) that are developed by Omne Possibile, are modified versions of the natural building blocks of DNA and RNA molecules. XNA can be customized for different industrial applications in the areas of healthcare, it, and smart materials."
Omne Possibile,https://www.omnepossibile.com/,"New-to-nature nucleic acids (XNA) that are developed by Omne Possibile, are modified versions of the natural building blocks of DNA and RNA molecules. XNA can be customized for different industrial applications in the areas of healthcare, it, and smart materials."
Scailyte,https://scailyte.com/,"Scailyte speeds up the discovery of biomarkers from single-cell sequencing data and clinical data. With their AI solution tool, they can analyze complex datasets in just a few hours and can deliver insights into biomarkers and molecular cell-identity signatures."
Scailyte,https://scailyte.com/,"Scailyte speeds up the discovery of biomarkers from single-cell sequencing data and clinical data. With their AI solution tool, they can analyze complex datasets in just a few hours and can deliver insights into biomarkers and molecular cell-identity signatures."
Biosplice,https://www.samumed.com/,"Biosplice is quickly becoming one of the richest biotech startups thanks to their focus on stem cells. Their mission is unbelievably inspiring as they seek to learn how to manipulate stem cells in order to prevent bone and joint diseases, skin diseases and even hair loss! Wow, simply an incredible mission."
Biosplice,https://www.samumed.com/,"Biosplice is quickly becoming one of the richest biotech startups thanks to their focus on stem cells. Their mission is unbelievably inspiring as they seek to learn how to manipulate stem cells in order to prevent bone and joint diseases, skin diseases and even hair loss! Wow, simply an incredible mission."
Ginkgo Bioworks,https://www.ginkgobioworks.com/,This trailblazing biotech startup firmly believes that from bacteria we can produce anything. Their research focuses on modifying microorganisms and it works with several partner companies to develop microbes for various different uses.
Ginkgo Bioworks,https://www.ginkgobioworks.com/,This trailblazing biotech startup firmly believes that from bacteria we can produce anything. Their research focuses on modifying microorganisms and it works with several partner companies to develop microbes for various different uses.
Beam Therapeutics,https://beamtx.com/,"Based in Cambridge, MA, they focus on enabling the editing of the human genome. It aims to commercialise the CRISPR system of DNA sequences.   CRISPR technology works in the following principle:"
Beam Therapeutics,https://beamtx.com/,"Based in Cambridge, MA, they focus on enabling the editing of the human genome. It aims to commercialise the CRISPR system of DNA sequences.   CRISPR technology works in the following principle:"
Auris Health,https://www.aurishealth.com/,"Auris Health is a biotech startup which focuses on manufacturing surgical robots. These surgical robots are being developed with the goal to enable minimally invasive treatments with high precision. Some of their main use cases are treatment of cancer cells in order to halt the progression of the disease. Thus, by using their technology, surgeons will be able to control surgeries through a video display whilst the cancer surgery is conducted mostly by robots."
Auris Health,https://www.aurishealth.com/,"Auris Health is a biotech startup which focuses on manufacturing surgical robots. These surgical robots are being developed with the goal to enable minimally invasive treatments with high precision. Some of their main use cases are treatment of cancer cells in order to halt the progression of the disease. Thus, by using their technology, surgeons will be able to control surgeries through a video display whilst the cancer surgery is conducted mostly by robots."
Cerevel,https://www.cerevel.com/rd/,Cerevel is the biotech startup that is highly focused on finding and providing innovative treatments to life-threatening neuroscience diseases that currently affect millions of people worldwide.
Cerevel,https://www.cerevel.com/rd/,Cerevel is the biotech startup that is highly focused on finding and providing innovative treatments to life-threatening neuroscience diseases that currently affect millions of people worldwide.
Century Therapeutics,https://www.centurytx.com/,"This biotech startup is frivolously aiming to develop novel allogeneic living drugs that will overcome the limitations of first-generation cell therapies. Their science is quite impressive as they are seeking to create genetically engineered immune effector cell therapies. These therapies are derived from induced pluripotent stem cells coming from healthy adults, and are specifically engineered to target hematologic and solid cancers as well as overcome barriers confronting autologous cell therapies.  Century Therapeutics are extremely focused in their mission to develop effective stem cell therapies which may help humanity fight cancers more effectively."
Century Therapeutics,https://www.centurytx.com/,"This biotech startup is frivolously aiming to develop novel allogeneic living drugs that will overcome the limitations of first-generation cell therapies. Their science is quite impressive as they are seeking to create genetically engineered immune effector cell therapies. These therapies are derived from induced pluripotent stem cells coming from healthy adults, and are specifically engineered to target hematologic and solid cancers as well as overcome barriers confronting autologous cell therapies.  Century Therapeutics are extremely focused in their mission to develop effective stem cell therapies which may help humanity fight cancers more effectively."
