Company Name,Link,Description
Accessible Bio,https://innovationlabs.harvard.edu/current-team/accessible-bio/,"Accessible Bio 
                                    We are building a B2B platform that enables industry biologist to run machine learning workflows at a low cost and without having to be an expert AI."
"Acurasset, Inc.",https://innovationlabs.harvard.edu/current-team/acurasset-inc/,"Acurasset, Inc. 
                                    Developing a cure for Hepatitis B virus that could rid patients of the virus within months."
Alvus Health,https://innovationlabs.harvard.edu/current-team/alvus-health/,"Alvus Health 
                                    Alvus Health develops target identification and drug discovery platform by AI and high-throughput patient-derived organoids."
ARTyx,https://innovationlabs.harvard.edu/current-team/artyx/,"ARTyx 
                                    At ARTyx, we are developing an innovative RNA therapeutic platform for cancer treatment, with an initial focus on Breast Cancer."
Believer Pharmaceuticals Inc,https://innovationlabs.harvard.edu/current-team/believer-pharmaceuticals-inc/,"Believer Pharmaceuticals Inc 
                                    We are developing a novel therapy for hard-to-treat cancers."
ClearSky,https://innovationlabs.harvard.edu/current-team/clearsky/,"ClearSky 
                                    ClearSky serves as a crucial tool in assisting people with vision problem and help improve the quality of safety and efficiency."
COOLR,https://innovationlabs.harvard.edu/current-team/coolr/,"COOLR 
                                    COOLR is a cooling device that is wrapped around athlete?s temperature-sensitive spots to lower internal body temperature and thus avoid overheating."
Dart Biosciences,https://innovationlabs.harvard.edu/current-team/dart-biosciences/,"Dart Biosciences 
                                    Dart Biosciences is developing personalized gene therapies for an array of rare and common diseases."
DoriVac,https://innovationlabs.harvard.edu/current-team/dorivac/,"DoriVac 
                                    DoriVac (DNA Origami Vaccine) is a biotech startup developing novel cancer treatments using DNA nanotechnology."
EmbedX Bio,https://innovationlabs.harvard.edu/current-team/embedx-bio/,"EmbedX Bio 
                                    We filed IP on a novel bioprinting method for applications in disease modeling and the scalable generation of human tissues and organs."
Experiment: ResearchToDate,https://innovationlabs.harvard.edu/current-team/experiment-researchtodate/,"Experiment: ResearchToDate 
                                    Find accurately curated summaries about research in your field and ideas of what could or needs to come next for medical discoveries on Experiment"
Freya’s Gift,https://innovationlabs.harvard.edu/current-team/freyas-gift/,"Freya’s Gift 
                                    Our venture develops next-generation microbiome therapeutics that leverages microbial bioactivation of dietary factors to treat infection and disease."
