Company Name,Description,Link
DMAT,"DMAT develops highly-advanced concrete formulas that increase durability and reduce carbon emissions. DMAT's technology relates to proprietary admixtures, as well as their specific calibration within concrete formulas. This results in mixes with up to 50% greater durability, 10% greater profit margins for readymix producers, and 20% CO2 reduction compared with traditional concrete mixes. DMAT's patent-pending technology does not require retrofitting. DMAT's business model is to sell concrete formulas under production license contracts.",https://dmat.co
Litus,"Litus is an emerging leader in the use of nanotechnology to provide ground breaking solutions to some of the world’s biggest energy challenges. Litus was formed in Calgary, Canada in 2019, by a team of experienced scientists and engineers. The Company’s first offering is a solution that selectively extracts lithium directly from water sources using a proprietary and patent pending nanomaterial composite. This technology enables companies to recover lithium with unmatched purity, speed and efficiency, resulting in far lower financial and environmental costs than any other known method.",https://www.litus.ca
4Zero Technologies,"Integrated operations are no longer optional – they are mission critical. 4Zero deploys the power of deeply integrated, AI enhanced technology to provide real-time access and control of your operations. By fusing together the intelligence of remote sensing and control, predictive analytics and human resources, we implement relevant solutions that solve real problems. Optimizing in ag, food and beverage, mining, and waste. Founded in Melbourne, Australia in 2018, 4Zero set out to achieve a simple mission – bridge the gap between operations and the rest of the organisation through advanced tech like IOT, AI and predictive analytics, and to do this in a way that makes the customer’s life easier.

From reducing unplanned downtime, to increasing efficiency and operational resilience, 4Zero technology transforms businesses – all while maximizing their bottom line.

The Parent Company Omnesse Is A Powerful Interoperability Platform, Driven By A Universal Language.
It connects disparate machines and devices, enabling them to finally communicate and collaborate successfully. Through their cooperation, useful data can be collated in one place and applied in ways that transform industries.",https://4zerotechnologies.com
Arolytics,"We help the oil and gas industry become leaders in emissions management.

Our data management software and emissions modelling solutions enable our clients to design, manage, and track the most efficient emission reduction programs, providing third-party data transparency while aligning with regulatory and corporate ESG objectives.

Navigating the diverse array of options for methane detection and quantification is challenging. How can emissions measurements be used to achieve:

Compliance?
Cost savings through an alternative LDAR program?
ESG targets?
Differentiated product pricing?
Voluntary initiatives and certifications (ex. OGMP 2.0)?

This is where we excel.

Our solutions:

1) AroFEMP Model - A modelling and emissions forecasting tool that evaluates and designs best-fit emissions monitoring programs tailored for cost, effectiveness, and alignment with corporate objectives. AroFEMP has been used by multiple producers and service providers to support the design and application of cost-effective alternative leak detection programs (alt-FEMPs) to the regulator. AroFEMP has been used to develop and approve individual and collaborative multi-operator alt-FEMPs.

2) AroViz Emissions Software - A centralized platform to streamline the end to end workflow of emissions management, a",https://www.arolytics.com
Stranded Solutions,"Stranded Solutions is commercializing a patented chemical process that is an industry first combining two well-known technologies to combat GHG emissions and increase oil and natural gas producers’ profits. One technology is the process of direct partial oxidation which combines natural gas with oxygen at elevated temperature and pressure to produce methanol. The other technology is a fluidized bed reactor which is a chamber in which the reaction occurs and that manages temperature and pressure to increase efficiency.  Methanol is a $42+ billion market expected to increase 5-fold by 2050. 
Stranded Solutions’ patented methane-to-methanol conversion technology can be scaled down to 1/100th the size of typical methanol plants, a solution that accommodates diverse types of smaller and non-traditional gas resources such as associated gas flared from oil wells.
Comments from a natural gas producer’s CEO and prospective customer: 
“Stranded Solutions uses the earlier simpler direct reaction process of “partial oxidization” (burning). This is less efficient but less capital intensive.  The potential low capital cost of Stranded Solutions’ process may become a “game changer” in upgrading natural gas in-field to higher value products.”",https://stranded-gas.com
Kiana Analytics,"Kiana strengthens physical safety and security, optimizes operations and delivers proximity solutions to understand visitor behavior at physical locations worldwide. Corporate campuses, event venues, transportation hubs and shopping malls use Kiana’s patented device detection capabilities and cloud-based software.

Kiana uses data fusion - WiFi signals from mobile devices and security camera images to detect the presence and monitor customer location and movements. Large volumes of real-time data are collected for each device, aggregated, and processed to provide customer behavior analytics, intelligent alerts, and actionable information.",http://www.kiana.io
Carbon Upcycling Technologies,"Carbon Upcycling Technologies (“CUT”) uses the waste of today to build a better tomorrow by converting CO2 gas into solid products. CUT sells advanced solid products derived from greenhouse emissions and cheaply available solids. Since 2014, CUT has scaled its ability to convert CO2 emissions into value-add end materials by over a million times and has since been confirmed as one of the top CO2 utilization companies in the world as a winner of the X-Factor Award in the NRG COSIA Carbon XPRIZE. Through its portfolio of CO2-derived solid nanoparticles, CUT has technically validated its solutions for use in concrete, coatings, and plastics. CUT recently launched a consumer brand called Expedition Air.

CUT commercialized a corrosion-resistant coating, utilizing its nanoparticles, in 2017, becoming the youngest CO2 utilization company to generate commercial revenue (<2.5 years since inception). CUT has been named as a Solar Impulse Efficient Solution label recipient, a funding recipient of Fundación Repsol Entrepreneurs Fund, and a winner of the 2019 76West Clean Technology Competition.",http://carbonupcycling.com
Copperstone Technologies,"Copperstone helps clients manage liabilities and safety costs associated with maintenance and monitoring of hazardous infrastructure.  We do this by building field robots that can access their these environments in a way never before possible.  Our robots carry sensors, surveillance, and sampling payloads, keeping people out of harms way, reducing costs, and improving efficiencies for our clients.  Our primary markets include mine waste tailings ponds, sewer infrastructure, and industrial or agricultural waste water storage ponds.

Copperstone runs also geotechnical surveys that are aimed at understanding the behaviours and properties of earth and foundations.  These surveys include soil sampling, soil mechanics, and subsurface investigations  to evaluate the foundation of structures, such as tailings storage facilities and earthen dams.",http://copperstonetech.com
ClimateWells,A science-first approach to cleaning up American oilfields. ClimateWells plugs oil and gas wells and creates verified emission reduction projects in the carbon market. ClimateWells is a carbon credit company that measures and removes emissions in the oilfield. Marginal oil and gas wells make up less than six percent of production but over 50% of all oilfield methane emissions. Plugging and wellsite reclamation stops emissions and restores the native landscape.,https://www.climatewells.com
Diesel Tech Industries,"Diesel Tech Industries is Driving Innovative Technology for the Transportation Industry, a subsidiary of DTTR (1999), founded in 2005 in Edmonton, Alberta and has taken on multiple challenges that have faced the trucking industry over the years. DTI is developing the Guardian Hydrogen-Diesel System. We are currently designing this latest technological innovation as a solution to the 2050 net-zero goal. Our solution provides a dual-fuel hydrogen blending solution, multiport injection, full ECM integration and a proprietary control system. Our Guardian HDS technology will support fleet operators with the energy transition and ensure competitiveness and economics for their fleets.",https://www.dtiguardian.com
Qaptis,"Truck & ship industry are together responsible for more than 10% of global CO2 emissions and are part of the hard-to-decarbonize sector. There is a strong pressure to bring rapid changes! However, the current solutions, like hydrogen and electric vehicles, are not ready to clean these sectors before decades. This is why Qaptis is committed to a greener tomorrow and their mission is to solve the climate change challenge in the transportation industry by capturing the emissions at their source. With their plug-in technology, their solution is able to capture up to 90% of the emitted CO2, store it in liquid form directly onboard and recycle it (fuel, plastics, building materials, CO2 sequestration).",https://www.qaptis.com
Optiseis Solutions Ltd,"OptiSeis is a geophysical company focused on providing high-resolution, cost-effective subsurface data with the lowest environmental footprint. We specialize in seismic acquisition design for optimal inversion results. Utilizing our proprietary software, we help clients plan, acquire, process, and interpret their seismic datasets, enabling accurate development of all subsurface resources including oil and gas, critical minerals, geothermal, and carbon capture and sequestration (CCS).

Seismic exploration often requires the clearing along seismic lines to provide safe access for equipment deployment. As industry progresses and the long-term operational footprint associated with these programs becomes better understood, new methods are needed to reduce the environmental impact of acquiring seismic, including reducing the emissions associated with fuel usage.

Our new technology, EcoSeis, can reduce the total operational footprint of a seismic program by more than 55% while still maintaining subsurface data quality and providing safe access for field operations. This method has the potential to reduce the emissions associated with the acquisition, the amount of reclamation required at the end of a project, and potentially the costs due to fewer linear km and improved efficiencies.",https://optiseis.com
"Hago Energetics, Inc.",Our company reduces carbon emissions through various technical approaches. Our first focus is the conversion of agricultural waste to green hydrogen. We are a group of scientists and engineers with deep expertise in the area of using renewable energy to decarbonize the present chemical industry.,http://hagoenergetics.com
Nanoprecise,"Nanoprecise has created a patented solution (hardware + software) that combines physics, material science, and data analytics to diagnose issues with machinery and detects anomalies, characterizes the faulty components and predicts the ""Remaining Time to Failure."" 

Nanoprecise's sensor is the first sensor in the world that extracts RPM, vibration, sound, temperature & humidity information, all from one sensor. The software (which is built on AI algorithms that are only limited to research papers until now) analyzes the data from various sensing elements and achieves anomaly detection, fault characterization & remaining useful life prediction.",https://nanoprecise.io
Cvictus,"Cvictus’s patented and proprietary Enhanced Hydrogen Recovery (EHR™) technology can produce clean hydrogen with lower carbon intensity than green hydrogen from hydropower and at a cost that’s less than half the cost of hydrogen from SMRs. EHR™ extracts hydrogen-rich synthesis gas (syngas) from ultra-deep coal and brine and re-injects associated CO2 back into the space it creates in the same deep seam for permanent geological sequestration, turning coal ‘from a source to a sink’ of CO2. Cvictus’s technology and projects target the most difficult climate challenges with flexible applications and huge scalability. We can produce the lowest cost, lowest carbon intensity bolt-on products (hydrogen, methanol, ammonia) to decarbonize difficult industries (chemicals, energy, transportation) providing a way for Canada, the US and many other countries that lack other energy resources to extract valuable products from heavy hydrocarbon while leaving carbon in the ground. Cvictus is also developing a bolt-on industrial fermentation system to produce single cell protein (SCP) as a high-quality, low-carbon alternative for soybean meal and fishmeal in animal feed to help restore our natural carbon sinks. At commercial scale, the process generates 80% EBITDA margins.",https://www.cvictus.com
Terrapin Geothermics,"Terrapin Geothermics Inc. (Terrapin) is a designer and developer of industrial heat recovery projects. As a turn-key solutions provider, Terrapin helps large industrial emitters advance their net-zero commitments by generating emission-free, baseload power from wasted heat off their operating assets. 

Unlike the traditional project developer, Terrapin will self-finance and build turnkey clean energy projects at zero cost to the client where we will pay them for access to turn their waste heat into value. Terrapin can provide the generated carbon offset credits as a royalty payment for access to their waste heat which offers rare opportunity to receive emission reductions for $0 per tCO2 reduced or clients can buy our emission-free power behind the fence at a reduced $/kWh rate.

Terrapin's team is comprised of energy and utilities experts who specialize in developing the operational, commercial, technical, and regulatory aspects of heat recovery projects. Ultimately, Terrapin's projects represent a negative-cost, emissions reduction opportunity for industrial facility operators.",http://www.terrapingeo.com
Ayrton Energy,"As home electrification grows, so does the strain on the current electrical grid system. Net-zero regulatory policies like zero-emission vehicles by 2035 in Canada and the US continue to provide further pressure on an electrical system already under severe strain. To alleviate the increased electricity demand expensive infrastructure upgrades are required to the transmission and distribution systems.

Ayrton Energy is developing a hydrogen-powered EV charging and energy storage system. Ayrton's EV charging systems can be installed at small commercial sites for fleet charging or at residential locations for individual use. The system is remotely monitored for automated just-in-time hydrogen delivery. The hydrogen is delivered in compact, safe containers that fit directly inside the unit.

While clean hydrogen is the next clean fuel to decarbonize the energy market it currently lacks the transportation network to enable safe and efficient delivery to a broad customer base. Ayrton's technology solves this challenge - Ayrton's proprietary hydrogen storage and transportation technology delivers hydrogen no differently than gasoline.",https://www.ayrtonenergy.com
