Company Name,Link,Description
Abtum,https://www.qorvo.com/,Abtum
Accel Robotics,https://www.accelrobotics.com/,Accel Robotics
AGGIOS,https://www.aggios.com/,AGGIOS
Agilome,http://N/A,Agilome
Agora Neos,https://agoraneos.com/,Agora Neos
AIR,http://advancedimagerobotics.com/,AIR
Aira,https://aira.io/,Aira
AirPay,http://N/A,AirPay
AllSeq,https://allseq.com/,AllSeq
Alpine Labs,https://alpinelaboratories.com/,Alpine Labs
Antengo,https://www.antengo.com/,Antengo
AON Devices,https://aondevices.com/,AON Devices
Approved,http://www.getapproved.io,Approved
Appulse Power,http://www.appulsepower.com,Appulse Power
Arctica Health,http://N/A,Arctica Health
Arynga,https://www.windriver.com/,Arynga
Assured Wireless,https://www.assured-wireless.com/,Assured Wireless
Astrileux,https://astrileux.com/index.html,Astrileux
Astrome,https://astrome.co/,Astrome
AstroPrint,https://www.astroprint.com/,AstroPrint
AttackIQ,https://attackiq.com/,AttackIQ
Audvi,http://N/A,Audvi
Aumnic,https://www.aumnic.com/,Aumnic
Avior Power,http://N/A,Avior Power
Axalume,http://www.axalume.com,Axalume
Axiosonic,http://www.axiosonic.com,Axiosonic
Barc,https://www.barclondon.com/,Barc
BenRevo,https://www.acrisure.com/,BenRevo
BigSho,http://N/A,BigSho
Biogas & Electric,http://www.biogasandelectric.com,Biogas & Electric
Biolinq,https://www.biolinq.com/,Biolinq
Biomarker Labs (Modern AlkaMe),http://www.biomarker.io,Biomarker Labs (Modern AlkaMe)
BlockBuyer,http://www.blockbuyer.com,BlockBuyer
BluAgent Technologies,http://www.bluagent.com,BluAgent Technologies
BreadCrumbs,http://N/A,BreadCrumbs
Brelyon,http://brelyon.com/,Brelyon
Bright Query,https://brightquery.com/,Bright Query
Buildz,http://www.Buildz.com,Buildz
Cardea Bio,http://www.cardeabio.com,Cardea Bio
CARI Health,https://carihealth.com/,CARI Health
Carlsmed,https://carlsmed.com/,Carlsmed
CaseByCase,http://www.casebycase.com,CaseByCase
Cashie Commerce,http://N/A,Cashie Commerce
Cayke,http://www.cayke.co,Cayke
CB Therepuetics,http://www.cbthera.com,CB Therepuetics
Cella Medical,https://cellamedical.com/,Cella Medical
ChatMeter,http://www.chatmeter.com,ChatMeter
Citadel Defense,http://www.dronecitadel.com,Citadel Defense
CityBot,http://N/A,CityBot
CleverPet,http://www.clever.pet,CleverPet
CLiCS,https://www.clics.com/,CLiCS
CloudSpot,http://www.cloudspot.io,CloudSpot
CloutHub,http://www.clouthub.com/,CloutHub
Coin-in,http://www.coin-in.com,Coin-in
CollectiveSun,http://www.collectivesun.com,CollectiveSun
CommSafe AI (FRMR Vigilance Risk Solutions),https://vigilancerisk.com,CommSafe AI (FRMR Vigilance Risk Solutions)
CourseKey,http://www.coursekey.com,CourseKey
CRISI Medical Systems,https://www.bd.com,CRISI Medical Systems
CRISPR QC,https://www.crisprqc.com/,CRISPR QC
Crossdeck,http://N/A,Crossdeck
Crypteron,http://www.crypteron.com,Crypteron
CureMetrix,http://www.curemetrix.com,CureMetrix
Cycuity (FRMR Tortuga Logic),http://www.tortugalogic.com,Cycuity (FRMR Tortuga Logic)
Cypher Genomics,http://www.cyphergenomics.com,Cypher Genomics
Daasity,https://www.daasity.com/,Daasity
DCR Technologies (Dealer Credit Resources),http://www.dcr.ai/,DCR Technologies (Dealer Credit Resources)
DeepWater Exploration,https://exploredeepwater.com/,DeepWater Exploration
Diagenta (Tealheal),https://www.diagenta.com/,Diagenta (Tealheal)
Digital Motors,http://www.digitalmotors.com/,Digital Motors
DNX Biopharmaceuticals,http://www.dnxbio.com,DNX Biopharmaceuticals
Doctible,http://www.doctible.com,Doctible
DotStudioz,http://www.dotstudiopro.com,DotStudioz
DoWhop,http://www.dowop.com,DoWhop
EcoATM,http://www.ecoatm.com,EcoATM
Edico Genome,https://www.illumina.com/,Edico Genome
Elevada,http://www.elevada.com,Elevada
eLux Medical,https://www.eluxmed.com/,eLux Medical
Evasyst (Kast),https://kastapp.co/,Evasyst (Kast)
Fabric8Labs,http://www.fabric8labs.com,Fabric8Labs
Falcomm,https://myfalcomm.com/,Falcomm
Fanpics,https://www.youtube.com/watch?v=SnzEZfWfXfc,Fanpics
FarmTogether,https://farmtogether.com/,FarmTogether
Fashioning Change,https://www.fashioning-change.com/,Fashioning Change
FatSkunk,http://www.qualcomm.com,FatSkunk
Final Wires,http://www.finalwires.com,Final Wires
Financial Fitness Group,http://www.financialfitnessgroup.com,Financial Fitness Group
Fluid Power AI,https://fluid-ai.com/,Fluid Power AI
Footprints Mobile Data,http://N/A,Footprints Mobile Data
Forest Park Group,https://www.forestparkgroup.com/,Forest Park Group
Forklift-Simulator (PlayWerk),https://www.forklift-simulator.com/,Forklift-Simulator (PlayWerk)
Frostbyte Video,http://www.frostbytevideo.com,Frostbyte Video
Fyncom,https://www.fyncom.com/,Fyncom
General Forensics,http://www.generalforensics.com,General Forensics
GetCocoBuzz (FRMR Elear Solutions),https://getcoco.buzz/,GetCocoBuzz (FRMR Elear Solutions)
GigaIO Networks,http://www.gigaio.com,GigaIO Networks
Glass Dyenamics (Polyceed),http://www.dyenamics.com/,Glass Dyenamics (Polyceed)
GlyTR Therapeutics,http://www.glytrtherapeutics.com,GlyTR Therapeutics
Go Ghost,http://www.go-ghost.com,Go Ghost
GoFastCab,https://www.totalride.com/,GoFastCab
Good Face Project,https://thegoodfaceproject.com/,Good Face Project
GoShare,http://www.goshare.co,GoShare
GoX Labs,https://www.goxlabs.com/,GoX Labs
GreenTape (UgliApps),https://my.pitchbook.com/profile/99047-08/company/profile#insights,GreenTape (UgliApps)
GRIP Molecular,http://www.gripmolecular.com,GRIP Molecular
GroGuru,https://www.groguru.com/,GroGuru
Grolltex,http://www.grolltex.com,Grolltex
GroupSolver,http://www.groupsolver.com,GroupSolver
Guru,https://www.gurumuseumsystems.com/,Guru
Halograph,http://www.halograph.com,Halograph
Health Gauge,http://www.healthgauge.com/,Health Gauge
Hold-Free Networks,https://www.five9.com/,Hold-Free Networks
HouseCall Pro,http://www.housecallpro.com,HouseCall Pro
Hubedu,https://www.ecampus.com/,Hubedu
Hush Technology,https://www.bose.com,Hush Technology
Hyperlight Energy,http://www.hyperlightenergy.com,Hyperlight Energy
icClarity,http://N/A,icClarity
iCoin,https://icointechnology.com/,iCoin
Immersive Entertainment,http://N/A,Immersive Entertainment
Imprint Energy,https://www.imprintenergy.com/,Imprint Energy
InBrace,http://www.inbrace.com,InBrace
Independa,http://www.independa.com,Independa
Infima,https://www.infima.io/,Infima
InMapZ,http://www.inmapz.com,InMapZ
innovasonic,https://www.innovasonic.com/,innovasonic
INOVA Drone,http://www.inovadrone.com,INOVA Drone
IO Semiconductor,https://silanna.com/,IO Semiconductor
Ionia,https://www.ionia.io/,Ionia
Iteros,http://N/A,Iteros
Ixana (FRMR Hearcomm),https://ixana.ai/,Ixana (FRMR Hearcomm)
jib Technologies,http://www.jibtechnologies.com,jib Technologies
Kadho,https://kidsense.ai/,Kadho
Koji,https://withkoji.com/,Koji
Koriist,http://www.koriist.com,Koriist
kSafe (KitchenSafe),https://www.thekitchensafe.com/,kSafe (KitchenSafe)
Kuddly,http://www.kuddly.co,Kuddly
LabFellows,http://www.labfellows.com,LabFellows
Lennd,http://www.lennd.com,Lennd
Lextrum,http://www.lextrum.com,Lextrum
Liquid Grids,http://www.liquidgrids.com,Liquid Grids
LoanHero,https://www.lendingpoint.com/,LoanHero
Lobus,https://lobus.io/,Lobus
Lynx Biosciences,http://www.lynx.bio,Lynx Biosciences
MANTA Instruments,https://www.horiba.com/gbr/company/news/detail/news/1/2019/horiba-instruments-acquires-all-shares-of-manta-instruments/,MANTA Instruments
Matregenix,http://www.matregenix.com,Matregenix
MD Revolution,http://www.mdrevolution.com,MD Revolution
MeCo Diagnostics,https://mecodiagnostics.com/,MeCo Diagnostics
Medipacs,http://www.medipacs.com,Medipacs
MemComputing,http://www.memcpu.com,MemComputing
Meta Technologies,http://www.metatechnologies.co,Meta Technologies
MG Therapies,https://mgtherapies.net/,MG Therapies
Micropower Technologies,http://www.micropower.com/,Micropower Technologies
Micruity,https://micruity.com/,Micruity
MiP.O.V. Technologies,https://www.facebook.com/MiP.O.V.Technologies/,MiP.O.V. Technologies
Mobile Coupon – Tech Fusion Corp,http://N/A,Mobile Coupon – Tech Fusion Corp
MobileTREC Technologies,https://www.crunchbase.com/organization/mobiletrec,MobileTREC Technologies
Monet Networks,http://www.monetanalytics.com,Monet Networks
Motoroso,http://www.motoroso.com,Motoroso
Move2Play,http://www.move2play.com,Move2Play
NanoHenry,http://N/A,NanoHenry
Neutroon,https://www.neutroon.com/,Neutroon
NewBlue,http://www.newbluefx.com,NewBlue
Noonum,https://noonum.ai/,Noonum
nPruv,https://prahs.com/,nPruv
Nulu,http://N/A,Nulu
Obrary,http://www.obrary.com,Obrary
Obsidian Sensors,https://www.obsidiansensors.com/,Obsidian Sensors
Oculi,https://www.oculi.ai/,Oculi
Omniome,http://www.omniome.com,Omniome
OmniSync (TurboSBIR),https://www.turbosbir.com/,OmniSync (TurboSBIR)
ONCE Labs,http://www.oncelabsinc.com/,ONCE Labs
OnMyBlock,http://N/A,OnMyBlock
Open Sesame,https://www.opensesame.media/,Open Sesame
OSSIC,http://N/A,OSSIC
Pago46,https://www.pago46.com/,Pago46
PartySpark,http://N/A,PartySpark
Pet Wireless (FRMR Tailio),https://www.tailio.com/,Pet Wireless (FRMR Tailio)
