Company Name,Description,Link
A.Team,"Marketplaces, SaaS",
Ace Games,Gaming,
Akooda,"Generative AI, SaaS",
Aligned,"Marketplaces, Israel, SaaS",
Alta Labs,Crypto,
Alterya,Crypto,
Anchorage Digital,Crypto,
AnyRoad,"Marketplaces, SaaS",
Arc,"Fintech, SaaS",
Arkhivist,Crypto,
Arkive,Crypto,
Aucto,"Marketplaces, SaaS",
Azra Games,"Crypto, Gaming",
Biconomy,"Crypto, SaaS",
Bizzabo,"Marketplaces, SaaS",
Blinkmoon,"Crypto, Gaming",
Breeze,"Insurance, SaaS, Marketplaces",
BridgeCrew,SaaS,
Butter,"Marketplaces, Insurance",
Buttonwood,Crypto,
C2i Genomics,Bio,
Candex,"Fintech, Marketplaces, SaaS",
Captain,"Fintech, Insurance",
Carapace,"Crypto, Fintech",
Celestia,Crypto,
Centivax,Bio,
Cherry,"Fintech, Marketplaces, SaaS",
Circles,"Marketplaces, Israel",
Club,"Fintech, Marketplaces, Consumer",
Clubbi,"LatAm, Marketplaces",
Codeowners,"Generative AI, SaaS",
Codi,"PropTech, Marketplaces, Consumer",
Coinvise,Crypto,
Collective Benefits,"Marketplaces, Insurance, SaaS",
Constru,"PropTech, Israel, SaaS",
Contribute,Crypto,
ConvoSpace,Crypto,
Cord,SaaS,
Core,Marketplaces,
Cricket Health,SaaS,
DAOStack,"Crypto, Israel",
Darrow,"Israel, Generative AI, Marketplaces, SaaS, Legal Tech",
DeFiAlliance,Crypto,
Diamond,Crypto,
Dongnae,"PropTech, Marketplaces",
Doordash,"Marketplaces, Consumer",
Dovly,"Fintech, Marketplaces, SaaS",
Duco,"Marketplaces, SaaS",
Edgybees,SaaS,
Edity,"Bio, Israel",
EvenUp,"Generative AI, Marketplaces, SaaS, Legal Tech",
Evolution,Gaming,
FLOKI,"Marketplaces, SaaS",
Faddom,"Israel, SaaS",
Fair.xyz,Crypto,
Feed,"Marketplaces, Consumer",
Filmhub,Marketplaces,
Firefly,Marketplaces,
Fitmob,"Marketplaces, Consumer",
Flickr,Consumer,
Forum Brands,"Marketplaces, SaaS",
Frontier,Generative AI,
Fuse Games,"Crypto, Gaming",
Genome Compiler,"Bio, Marketplaces",
Gigantic,"Gaming, Israel",
Gilboa,"Bio, Israel",
Global-e,SaaS,
Goodreads,Consumer,
Graduway,SaaS,
HQ,"Marketplaces, SaaS",
Hercules.ai,"Generative AI, SaaS",
Hippo,Insurance,
HoneyBook,"Fintech, Marketplaces, SaaS",
Honor,"Marketplaces, Consumer",
Hyperlane,Crypto,
Hyperspace,Crypto,
Icy Ghost,"Gaming, Israel",
ImagenAI,"Israel, Generative AI, SaaS",
Incredible Health,"Marketplaces, SaaS",
Instashowing,"PropTech, Fintech",
Ivy,"Fintech, SaaS",
JetInsight,"Marketplaces, Consumer, SaaS, Fintech",
Jiff,"Marketplaces, SaaS",
Jobwise,Marketplaces,
Juno,Fintech,
Jupiter,Marketplaces,
Karma,"Marketplaces, Israel, Consumer",
Karmaverse,"Crypto, Gaming",
KimKim,"Marketplaces, Consumer",
Komodor,"Israel, SaaS",
Kryptomon,"Crypto, Gaming",
La Haus,"Marketplaces, PropTech, SaaS, LatAm",
La Jolla Labs,Bio,
Landa,"Fintech, Israel, Marketplaces, Consumer, SaaS",
Latitud,"Fintech, Marketplaces, LatAm",
Latitude,"Gaming, Generative AI",
Let’s Do This,"Marketplaces, Consumer",
Lev,"PropTech, Marketplaces",
Librty,"Crypto, Gaming",
Life360,Consumer,
Lightspark,Crypto,
LiveRamp,SaaS,
Lobby,Crypto,
Lyft,"Marketplaces, Consumer",
Lyric,PropTech,
MEM Protocol,Crypto,
Mammoth Biosciences,Bio,
Mana.bio,"Bio, Israel",
Mapillary,Generative AI,
MarketMan,"Marketplaces, SaaS",
Marqeta,"Fintech, SaaS",
Melonn,"LatAm, Fintech",
Monkey League,"Gaming, Crypto, Israel",
Moon Active,Gaming,
