Company Name,Company Link,Participant Name,LinkedIn,Description
AlgiKnit,https://www.algiknit.com/,Aaron  Nesser,https://www.linkedin.com/in/aanesser/,AlgiKnit is a material solution company providing and inspiring brands with algae-based textile materials for a diverse range of products
CalmiGo,https://calmigo.com/,Adi Wallach,https://www.linkedin.com/in/adi-wallach-15aab018/,"CalmiGo (previously MyReLeaf) is a drug-free device providing immediate relief for moments of distress, anxiousness, and stress by regulating the users’ breathing patterns and stimulating their senses"
iHealthScreen,http://ihealthscreen.org/,Alauddin Bhuiyan,https://www.linkedin.com/in/alauddin-bhuiyan-36707111/,"iHealthScreen has developed AI based tool iPredict (TM), to screen an individual at risk of developing age-related macular degeneration (AMD) and diabetic retinopathy (DR), and prevent blindness."
AlgiKnit,https://www.algiknit.com/,Aleksandra Gosiewski,https://www.linkedin.com/in/aleksandra-gosiewski/,AlgiKnit is a material solution company providing and inspiring brands with algae-based textile materials for a diverse range of products
TEZCAT Laboratories,http://www.tezcat.co/,Alexander Efron,https://www.linkedin.com/in/alex-efron-28b23423/,"Developing a biologics-based therapeutic approach to treat mutant Ras cancers, such as colorectal cancer"
"Innovene, Inc",,Alia Kozlova,https://www.linkedin.com/in/alia-kozlova-27b7084/,Innovene has designed a new class of medications from safe plant-derived components; TriCurin will target the unmet medical need of treating patients with oncogenic human papillomavirus infections.
YouMatter,http://www.youmatter.io/,Amanda Wang,https://www.linkedin.com/search/results/people/?firstName=Amanda&lastName=Wang&origin=SEO_SN,YouMatter is a digital app that addresses the gap between treatment and self-learning in order to help prevent suicide.
"Face2Face Health, LLC",https://www.face2facehealth.com/,Ami Shah,https://www.linkedin.com/in/amishahmd/,"Face2Face Health is an integrative child-centric connected care platform for caregivers that provides remote access to experts across health silos, evidence-based education on top conditions and communities."
StudentBody,http://studentbody.me/,Amy Kwan,https://www.linkedin.com/in/amy-kwan-drph-mph-4039962/,"StudentBody is a comprehensive set of cloud-based tools for student health and well-being.  StudentBody helps students address stress, anxiety, sleep, exercise, and eating habits to improve overall health and well-being and thus, improve college and university retention. Tools include a just-in-time framework via a natural language learning chatbot."
MyophonX,https://myophonx.com,Anaïs Rameau,https://www.linkedin.com/in/anaïs-rameau-198973138/,MyophonX is an individually tailored wearable device that applies machine learning to silent articulation to restore speech in patients with limited phonation capacity.
TermAffirm,,Andrea Westervelt,https://www.linkedin.com/in/andreawestervelt/,"TermAffirm is an ultrasound-based diagnostic which identifies women at high risk for cervical insufficiency in pregnancy, and an associated patient-specific cervical pessary."
Smell-RS,,Andreas Keller,https://www.linkedin.com/in/andreas-keller-214b6a145/,"Smell-RS is developing a digital diagnostic device for testing olfactory function, which is an early symptom of neurodegenerative diseases that affects 10% of the population."
Motion2Movement,https://www.motion2movement.com/,Ankush Thakur,https://www.linkedin.com/in/ankush-thakur-517276b3/,"A remote knee-therapy platform that enables patient engagement, and provides critical data to clinicians including muscle activation, therapy compliance and progress, and patient-reported outcomes."
Cathecare,http://www.cathecare.com/,Aonnicha Burapachaisri,https://www.linkedin.com/in/aonnicha-burapachaisri,CatheCare’s CASS device uses ultraviolet light to prevent the deadly catheter-related infection.
Vitrisa Therapeutics,https://www.vitrisatherapeutics.com/,Arijit Bhowmick,https://www.linkedin.com/in/arijit-bhowmick-phd-0a6099b,"Platform technology for rapid development of highly stable, high affinity clinic ready ligands called aptamers."
