Company Name,Description,Link
iCorNet.Laboratory. Co,Providing medical devices for the treatment of heart failure and arrhythmia with patient-specific cardiac support nets,http://icornet.jp
"HoloAsh, Inc.",Holographic AI Friend Encourages Positive Attitudes in People with Mental Disorders,https://holoash.com
GATTACO Inc.,"Our technology and products enable lab-quality medical diagnosis in any environment, including home, clinic, drugstore, and pharmacy.",http://gattaco.com/
"enishia Inc,","Development and sales of medical record summary support software ""SATOMI,"" which contributes to the reform of physicians' work styles and helps them utilize medical record data",https://enishia-inc.co.jp/
ELXR,Pioneer of building a fitness training system based on DNA information,https://www.the-elxr.com
Atomis Inc.,Development of New Applications Using Porous Coordination Polymer PCP/MOF,http://www.atomis.co.jp/
"ad-dice Co., Ltd.",Automate the unspoken knowledge and experience of medical and industrial experts with autonomous AI that can teach the experts themselves.,https://www.ad-dice.com
ASTROFLASH Inc.,"Builds, develops, and operates a satellites that is controllable by an individual",https://www.astroflash.co.jp/
atta Inc.,Develops an app that provides retail and travel-related services utilizing the big data and AI,https://atta.ai
Beeinventor Ltd.,Provides a platform that allows the users to manage and optimize construction projects,http://www.beeinventor.com
"Biomass Resin Minamiuonuma Co., Ltd.",Produces and sells domestic biomass plastic resin,https://www.biomass-resin.com/
"Chinougijutsu Co., Ltd.",Provides consulting services on AI and robotics technology and develops contactless screen operation,http://www.chinou.co.jp/
CUICIN Inc.,Develops smart operation services for hotel businesses,https://cuicin.co.jp/
Kinix Inc.,Provides exer-game platform that enhances the quality of exerices,https://www.kinix.jp/
Navmatic Inc.,Provides a highly precise GPS solution for micromobility,https://www.navmatic.io/
"Origin Wireless, Inc.",Develops a indoor GPS and monitoring system that utilizes wireless communication technology,https://www.japan.originwirelessai.com/
"otetsutabi Co., Ltd.",Provides a platform that connects users to volunteer opportunities in travel destinations,https://otetsutabi.com/
PLEN Robotics Inc.,Develops AI robots with facial recognition,http://www.plenrobotics.com/
RaSpect Intelligence Inspection Limited.,Provides a solution using AI for predictive maintenance,https://raspect.ai
"Via-at, Inc.","Provides co-working platform using open spaces, such as in stores and cafes",https://via-at.space/
Remote Optix,"Provides easily accessible, high quality live video and collaboration tools for construction, inspection and real estate use cases.",https://remoteoptix.com/
Lula,A technology company that transforms convenience stores into last-mile micro-fulfillment centers.,https://www.luladelivery.com/
Cartken,"Cartken makes communities more connected by bridging the distance between customers and the local businesses they love.  Our autonomous robot platform is designed to transport goods over short distances and in local neighborhoods. We use advanced AI to power our robots, making them the safest and most reliable in the market today.",https://www.cartken.com/
Zaak Technologies,"ZaaK Technologies is an eco-innovative start-up dedicated to treating and upcycling industrial by-products, with the aim of delivering environmentally sustainable and commercial solutions for the production of value-added building material.",http://zaaktechnologies.de
Water Horizon,"""Water Horizon's goal is to develop an innovative renewable energy solution for industrial heating and cooling applications as well as district heating.  The technology is a mobile thermal battery which recovers waste heat from industrial activities. """,http://water-horizon.com
vGis,"""Using the vGIS system, field personnel can see an augmented view that includes holographic infrastructure objects, improving their environmental assessments and increasing their situational awareness. """,http://vgis.io
Immaterial,"""Immaterial is the only company to commercialise monolithic MOFs, a class of super-adsorbent nanomaterials with potential global impact.  Applications of Immaterial's technology include use cases like carbon capture, emissions control, gas separation and storage, wastewater management, and several other industrial use cases. """,http://immaterial.com
Hiboo,"Hiboo builds a whole new vision of equipment operation using field data, to help companies achieve better management of their operations and increase productivity. The data infrastructure platform enables new tools for interpreting equipments park inside companies: location, use, security, consumption, areas of activities, maintenance.",
Enway,"""Enway’s software stack enables centimeter precise autonomous navigation for specialty vehicles such as street sweepers or garbage trucks. The development of operating modes that allow human workers and self driving vehicles to cooperate is one of the key priorities for Enway.""",http://enway.ai
Clairion,"""Clairion is a cleantech startup that leverages innovative patents technology to simultaneously remove pollutants such as NOx, SOx and Hg from industrial emissions.  The advantages of its solution are unprecedented efficiency, cost reduction, minimization environmental impact and ensure compliance with regulations.  """,http://clairion.com
Carbon8 Systems,"""Carbon8 Systems provides technical solutions that capture and store CO2 through the treatment of industrial waste.  The company uses Accelerated Carbonation Technology (ACT) to combine carbon dioxide with thermal residues from a variety of different industrial processes to produce materials for reuse, mostly in the construction industry.  """,http://c8s.co.uk
Carbon Upcycling,"""Carbon Upcycling converts CO2 emissions into valuable nanomaterial powders that improve the performance of concrete, plastic, battery, adhesives, and pharmaceuticals. The produced nanoparticle powders have a range of technically-validated applications such as additives in the plastics, coatings, epoxy, adhesives, concrete, lithium-ion battery industries.  """,http://cutco2.com
Carbix,"""Carbix transforms atmospheric carbon dioxide into carbonates to build industrial products.  Its novel bioreactor takes enriched CO2 from power and cement plants and in just hours converts it into cement and aggregates for the construction industry, home and yard goods for consumers looking to support the environment. """,http://carbixcorp.com
Blue Planet Technologies,"""Blue Planet captures CO2 from industrial and power plant flue gas emissions, permanently sequesters CO2 in a manufactured limestone construction aggregate for further use in concrete. In addition to the CO2, Bleu Planet utilizes calcium oxides taken from a wide range of waste streams to up-cycle those wastes into salable products.  """,http://blueplanet-ltd.com
Xylene,"Xylene changes the way companies interact with their supply chains.  The technology is a combination of supply chain visualization, due diligence and product traceability, which leverages on blockchain and remote sensing (satellite imageries) to validate the authenticity of the data exchanged.",http://xylene.io
Swirltex,"""Swirltex has developed a membrane filtration system for treating wastewater. The patented membrane system can utilize lower-cost polymeric membranes, and provide a significantly higher flux while avoiding fouling.""",http://swirltex.com
Recyda,"Recyda provides suggestions for designing product packaging to ensure regulatory compliance, reporting tools to support recyclable claims, and sales tools for packaging manufacturers, everything in a unique solution.",http://recyda.com
Provenance,"""Provenance makes information open and accessible throughout the supply chain and at the point of sale. The software-based technology connects information to things that help us understand and discover the origin, journey and impact of our products.""",http://provenance.org
Oriient,"""Oriient can activate indoor positioning in any building without installing anything with an accuracy within 1m (3ft).  Oriient provides users with extremely accurate navigation on their smartphones and allows facilities and retails to improve their service, space utilization, staff performance and operations.""",http://oriient.me
Neurons Inc,Neurons is an applied neuroscience and AI-based tech startup which helps asses and understand consumer responses. Neurons Inc has been able to protocolize and move consumer- response analysis from the lab to anywhere.,http://neuronsinc.com
Greencovery,"Greencovery has developed technology that helps food manufacturers recover valuable compounds from their side-streams. The resulting, high-quality ingredient helps businesses offer an attractive economical proposition that reduces CO2 and waster consumption.",http://greencovery.com
Kiinns,Kiinns has developed a patent-pending technology that eliminates the need to clean food processing equipment after use in food production lines by coating the equipment with a biodegradable polymer.,http://kiinns.com
Aryballe,"Through supervised machine learning, Aryballe is training its hardware-enabled software to recognize and discern between scents to power research and development, ensure product and sourcing quality, and facilitate the creation of positive consumer experiences.",http://aryballe.com
Virtuleap,"Virtuleap combines neuroscience and virtual reality to help increase attention levels, and address cognitive illnesses, disorders, and learning challenges. We have created a library of VR games designed by neuroscientists in order to test and train a range of cognitive abilities and make that data accessible through our enterprise platform. Our first paid client is the AARP, and we are now working with leading institutions, like the VA Health Care System and the Pacific Brain Health Center, to validate our solution as an effective diagnostic and treatment for attention deficit and cognitive decline.",https://virtuleap.com/
Tali Health,"TALi is a Australian digital therapeutics company that develops patented and clinically validated solutions to screen, assess and improve cognitive function. TALi’s first solution utilises app-based technology and gamification to deliver a digital therapeutic that addresses the outstanding need to assess and treat attention deficits during early childhood.",https://talihealth.com.au/
Takalam,"Takalam is an online counseling and mental well-being platform offering a convenient and personalized solution to individuals, couples, and organizations through a seamless digital experience using video, audio and instant messaging, with an option of anonymity.",https://www.takalam.ae/
Nafas,"Nafas Meditation App, help the Arabic population to reduce anxiety, stress and insomnia through audio-only guided meditations that promotes the practice of mindfulness to live a healthier and happier life.",https://www.getnafas.com/
Healium,Healium is a clinically validated mental fitness channel that uses virtual and augmented reality apps for the self-management of stress and anxiety. It’s the world’s first virtual and augmented reality media channel powered by brainwaves and heart rate via an EEG headband or Apple Watch.,https://www.tryhealium.com/
Fatster,""" Fatster is a highly scalable community-based mobile social network that  aims to connect people through weight loss and achieving their fitness  goals. This startup believes that weight loss and fitness are the keys to  preventing and lowering the risk of chronic diseases from diabetes,  hypertension and cardiovascular disease.""",https://www.fatster.app/en/
Invitae,"Invitae Corporation is a leading medical genetics company whose mission is to bring comprehensive genetic information into mainstream medicine to improve healthcare for billions of people. Winner of the Cleveland Clinic Medical Innovation Startup Showcase, YouScript was acquired by Invitae in 2020 to provide real-time, evidence-based genomic clinical decision support.",https://www.invitae.com/en
Perx Health,"Perx Health is a Digital Therapeutics and Chronic Care company building the world’s most engaging programs for condition management. Whether in clinical research or large, real-world programs, it has proven to improve health and business outcomes. This startup helps insurers and healthcare providers by providing chronic disease management, remote patient monitoring, medication and much more, all on one platform.",https://www.perxhealth.com/
