Company Name,Description,Link
ProcessGold,"Every use of IT-systems (ERP, BPM, etc.) leaves digital footprints behind. Process mining uses this data to visualize and analyze the actual end-to-end processes, with all variants and relevant key performance indicators. Potentials to increase efficiency and reduce risks becomes visible, and the process can be optimized. Our recommendation: Stop guessing. Act on facts.",https://processgold.com/en/
BlockSeer (acq. by DMG Blockchain),BlockSeer is a data science company with a focus on blockchain analytics and forensics.,https://www.blockseer.com/
Parking Panda,Parking Panda is an online marketplace and optimization platform for parking.,https://www.parkingpanda.com/
Nextbio,Nextbio is a software company that provides a platform for life science researchers to discover and share knowledge.,https://www.nextbio.com/
Chemisense,Chemisense is a wearable air quality monitor to help individuals better understand the air around them.,https://chemisense.co/
Virool (acq. by Turgo),Virool is world’s first viral video ad network that allows companies to distribute video content through a series of online publishers.,https://www.virool.com
Viewics (acq. by Roche),"Viewics provides unprecedented access to disparate healthcare data to surface actionable intelligence and empower data-driven decision-making. Through expertise and focus on healthcare analytics, Viewics delivers proprietary, best-in-class technology for data extraction, cleansing, and transformation to quickly unlock insights that deliver invaluable operational and financial impact, while reducing burden on IT.",https://viewics.com
PayPal (acq. by Ebay),"PayPal is the faster, safer way to send money, make an online payment, receive money or set up a merchant account.",http://www.paypal.com
NextBio (acq. by Illumina),NextBio NextBio is a software company that provides a platform for life science researchers to discover and share knowledge.,https://www.nextbio.com
Neumob (acq. by Cloudflare),"Neumob Neumob is the leader in reducing mobile app errors, speeding up app performance and boosting conversions",http://neumob.com
Matcha (acq. by Apple),"Matcha Matcha is a second-screen video search and recommendation service for movies, TV shows and other video content.",
LendingClub,Online peer-to-peer lending allowing members to directly invest in and borrow from each other.,http://lendingclub.com
Ellie Mae,"At Ellie Mae, we’ve been changing what’s possible in the mortgage business since 1997. And while the industry has changed, our mission to automate mortgages so lenders can achieve compliance, quality and efficiency hasn’t. Nor will it. We serve banks, credit unions and mortgage companies of all sizes. We’re committed to our clients. We’re committed to the mortgage business. And we’re committed to innovating how mortgage professionals work, and work together, to originate, process and close high-quality, compliant loans.",http://elliemae.com
Dropbox,Online file storage (cloud storage). Allows users to access important files from any PC or mobile device through cloud storage on the web.,http://dropbox.com
Camstar (acq. by Samsung),Camstar Systems Camstar Systems provides enterprise manufacturing execution and quality management software solutions to a global clientele.,http://camstar.industrysoftware.automation.siemens.com/en/
Baarzo (acq. by Apple),A video search engine that actually scans video content to find specific events.,
AddThis (acq. by Oracle),"Internet analytics program: AddThis platform enables  publishers to distribute and track digital content such as web pages, widgets, and videos to social networks.",http://addthis.com
ShareIQ (acq. by Cision),"ShareIQ has proprietary image mapping, tracking, and analytics that enables Fortune 500 clients to gain unprecedented insights into how their user-generated and brand-generated visual content leads to discovery, influence and purchase. ShareIQ is the only software platform that helps brands analyze and fully optimize their earned media, and benchmark the performance of competitive earned media.",http://shareiq.com
EngageClick (acq. by 24[7]),"EngageClick is a predictive marketing platform to deliver personalized marketing messages across channels - website, apps, social, ads, and video to create one system of record for customer preferences for marketing messages. We use advanced machine learning and big data system for creating intelligent patterns that fuels better sales and conversions.",http://engageclick.com
MobileRQ (acq. by Kochava),Mobile personalization platform MobileRQ enables brands to add context to their mobile app strategies creating powerful customer experiences that drive revenue and loyalty. Business teams can tailor real-time app content in a data-driven way across individual audiences simultaneously. We put “developer” app control and design power into the hands of the business to drive conversions rapidly and instantly report results.,http://mobilerq.com
Blynk (acq. by Kik),"Blynk is your personal stylist in your pocket. The average personal stylist costs an individual no less than $100/hour. Blynk replicates this value for users - for free. We provide quality fashion recommendations personalized and delivered to you. We help you determine your style, send you full outfit recommendations and make your shopping experience easier and more enjoyable.",http://blynkstyle.com
Tote (acq. by Pinterest),"tote lets you easily save products you see at the mall or in a store. Save a product to your collection or let tote concierge find products that can’t be found with a barcode alone.  You can buy your saved products anytime, share them with friends and receive price drop alerts.",http://pinterest.com
Booshaka (acq. by Sprinklr),"Manually stitching together customer engagement databases across your marketing channels is error prone, time consuming, and overwhelming. With Booshaka, you can reach your customers and potential customers—where they are—to build engagement, and sales.",http://sprinklr.com
Piqora (acq. by Olapic),Piqora helps brands drive business results through the deployment of user-generated visual content throughout their websites and marketing collateral.,
MentAd (acq. by SocialCode),"With its predictive marketing platform, MentAd leverages sophisticated big data and machine learning techniques to understand what characterizes existing customers, and accurately predict the ROI of reaching new similar customers on different advertising channels.",http://mentad.com
BoomTrain (acq. by Zeta Global),"Boomtrain helps companies send individually relevant mobile app and email notifications at any scale. Think of us as your one-stop personalized notification platform. We leverage machine learning and predictive algorithms to drive increased clicks, engagement and revenue through customer communications. Our technology surfaces the content that’s most likely to engage any individual and delivers it via email, push notifications, or the web. All automated, all in real-time, and as easy to integrate as Google Analytics.",http://boomtrain.com
FiveRun (acq. by Kibo Software),"Fiverun is a SaaS-based commerce platform that streamlines retail operations and offers brands greater digital capabilities in-store. Built on an open API framework, Fiverun's web and mobile-based solutions help enterprise brands and retailers better manage their front and back-of-store operations, enhance the in-store customer experience, and drive business results. Retail different.",http://fiverun.com
ChangeTip (acq. by Airbnb),"Our first product, ChangeTip, integrates payment processing with social media, Bitcoin, and the web at large to transform the idea of a “like” into a method of financial appreciation.",https://www.changetip.com
Milo (acq. by Ebay),"By combining the resources of the Web and the immediacy of local stores, Milo.com makes it easy for shoppers to research the best products, find the right prices and check where products are available near them. Shoppers save time and money, get to see and try products before they buy them and get the product they want right when they want it. Retailers with products listed on Milo.com can better compete with e-commerce and can use the Site to drive valuable intent-based foot traffic into their stores. Based in Palo Alto, Calif., Milo.com boasts leadership from comScore and Google, and is backed by True Ventures and prominent Silicon Valley investors and entrepreneurs from Mint.com, PayPal, Yelp, YouTube, and others.",http://milo.com
Retrevo (acq. by Shopzilla),"Retrevo is a shopping site focused solely on consumer electronics search, discovery, recommendations and purchase. The site, which is now one of the largest consumer electronics shopping and review sites online, used machine learning and Big Data Analytics on large scale private and public unstructured data to derive product insights on a daily basis so consumers always got the guidance that was comprehensive, current and objective.",http://www.retrevo.com
VUDU (acq. by Walmart),"VUDU, Inc. provides digital technologies and services that deliver Internet entertainment to consumers' HDTVs and home theaters. It offers VUDU Box and VUDU XL, which provides access to movies and TV shows; and VUDU Wireless Kit, which connects VUDU box to the Internet. The company also provides accessories, such as replacement remotes, power adapters, and power supplies and AC cords. It offers its services through movie studios, independent studios, and distributors. The company offers its products through its authorized installers and online. VUDU, Inc. was formerly known as Marquee, Inc.",https://www.vudu.com
Zong (acq. by Ebay),"Zong, the leading mobile payment service used by online gaming and social networking web sites, converts shoppers into buyers at rates up to 10 times greater than traditional payment methods. Zong leverages direct connections with mobile network operators around the world to provide a secure payment solution with unrivaled connectivity and service quality. Zong is the mobile payment provider for Facebook Credits and also works with hundreds of leading destination websites and mobile applications including Gaia Online, IMVU and Playdom.",https://zong.com
Retailigence (acq. by ShopAdvisor),Retailigence drives Online-to-Offline (020) shopping behavior by leveraging unique access to location-based product and brand data as well as mobile shopper insights. The company’s adPOP (mobile ads) and appNET (mobile search) platforms empower retailers to reach over 25 million mobile shoppers. Leading retailers use Retailigence to increase engagement and drive in-store product sales through our close-the-loop “Reserve for In-Store Pickup” solution.,http://retailigence.com
ReadyPulse (acq. by Experticity),"ReadyPulse is the leading platform that provides mastery of social influencer marketing. Period. Enjoyed by the world’s most loved consumer brands to effectively market today’s socially inspired customer, the ReadyPulse platform provides a comprehensive range of tools that find the best people and user-generated content on social networks, amplifies both to promote products in an authentic manner and delivers a variety of campaign options to grow brand awareness, conversions and revenue. From deploying authentic social photos across websites, shoppable Instagram accounts, to delivering brand ambassador programs, ReadyPulse provides a toolbox filled with the loudest voices and content in social.",http://readypulse.com
