Company Name,Description,Link
ReSec Technologies,"Ultimate protection from known and unknown file-based malware threats, using patented Content Disarm and Reconstruction (CDR) technology.",https://resec.co/
ixLayer,"A technology infrastructure for healthcare, wellness, nutrition, and lifestyle companies to offer their own genetic or other health tests.",http://www.ixlayer.com
Gali Health Inc.,"Community-driven, personal health AI assistant Gali",http://www.galihealth.com
Populus,"Populus is a transportation technology company that helps cities and private mobility providers deliver safe, equitable, and efficient streets through better data and analytics.",https://www.populus.ai/
MDGo,MDgo is the medical personnel onboard.,http://www.mdgo.io/
BrokerBuddha,"""BrokerBuddha is a next-generation customer engagement platform for independent insurance brokers and captive agents, proven to increase customer retention and close rates while saving time. We simplify the experience of buying and selling commercial insurance. """,http://www.brokerbuddha.com
Agentero,"Agentero is building software to help insurance agents serve their customers more effectively (via a mobile app where they can manage their policies), as well as a lightweight CRM functionality to help agents boost their book yield.",http://www.agentero.com
Remesh,Remesh is a next-gen AI platform for engaging and understanding a group of people in real-time to draw out insights to contribute to an organization's success.,https://remesh.ai/
Boardwalktech,"Boardwalktech was the first company to develop a now patented positional cell data management technology. We were also the first company to deliver a digital ledger database designed specifically for collaborative, multi-party enterprise applications-- both disruptive offerings in the market. Our vision is to provide digital ledger blockchain technology and products for the extended enterprise which our customers can use to run mission critical applications managing the digital exchange of information internally and with customers, channels, and suppliers. We’re well on our way- today, we have companies of all sizes in all industries running mission critical processes managing billions of cells of data as part of their digital information exchange with thousands of trading partners.",https://boardwalktech.com
HYP3R,HYP3R is a location-based marketing platform that makes it easy for businesses to acquire and retain high-value customers.,https://hyp3r.com/
Go Moment,"Guest Engagement, Automated. Go Moment's Ivy platform automatically engages hotel guests in real time using Artificial Intelligence over messaging channels like SMS and Alexa.",http://www.gomoment.com/
VastBiome,VastBiome harmonizes and contextualizes data across the clinical spectrum of immune disease and uses AI to understand the core mechanisms through which the microbiome controls the human immune system.,http://vastbiome.com
Limbix,"Limbix provides the complete VR system for clinics, hospitals, and mental health centers. Their mission is to improve patient care with virtual reality.",http://www.limbix.com
Dowsure,Dowsure is an innovation cross border e-commerce insurance company dominated by seniors of insurance and IT experts with leading Dynamic Risk Pricing Model based on AI and Risk Management System.,http://dousha8ao.com/
Senseye,We can wirelessly read out all the activity of the brain via the iris muscles with the same fidelity as a fMRI.,http://www.senseye.co
SEMPLUS,"SEMPLUS has created a patented touch screen that combines flexibility, touch, and pressure into a single touch product, enabling innovative design, multi materials touch surfaces and new UX.",http://semplus.com
Lunewave,Lunewave offers cutting edge antenna and radar sensor technology for wireless communications and autonomous driving applications.,https://lunewave.com
Locomation,"Founded by five seasoned robotics experts from CMU/NREC with over 100 years of collective experience in autonomy, Locomation develops safe and reliable autonomous trucking solutions.",https://www.locomation.ai
Deepen AI,Multi-sensor AI Tools for Autonomous and AI Dev.,http://www.deepen.ai
Arrivo,"Solving the supply side of mobility with a high-speed, high-throughput integrated vehicle and infrastructure system.",https://www.arrivo-loop.com
Grove,Grove's mission is to make financial planning honest and accessible.,http://hellogrove.com
Go Moment,"Ivy automatically engages your guests in real time using Artificial Intelligence. Delight your guests, your staff, and your bottom line with Ivy. Automatically get guest feedback in real time. Get alerts when a guest is upset on-site. Stop bad reviews before they're written.",http://www.gomoment.com
Compound (fka Stayawhile),"Compound (previously known as Stayawhile) is a distributed global network of furnished, branded, designer apartments in major cities around the world. It is our ambition to create a new category--branded medium-term housing--and to become the global leader with hundreds of thousands of branded apartments across the globe. Less expensive than hotels, more consistent than Airbnb, safer than Craigslist.",https://www.compoundny.com/
Plot,"Plot offers a zero cost, 5 week solution for checkpoint monitoring. We are the only solution on the market that delivers this information to every traveler in your city.",https://tryplot.co/
Loungebuddy,"LoungeBuddy is the only single resource for travelers to be able to locate, review, and access airport lounges around the world.",https://www.loungebuddy.com/
Safely,"Safely is the trust and safety layer for the shared economy, beginning with short-term home rentals. We can quantify the reservation risk, verify the guest as trustworthy, and then guarantee the rental with $1 million of liability coverage from our network of insurance underwriters. Homeowners are comfortable renting for the first time, and even making their home available for an instant booking to any Internet stranger on a global booking site such as Expedia.",https://www.safelystay.com
BookingPal,"BookingPal provides a global distribution system and a centralized booking platform for vacation rental properties. It allows owners/managers of vacation rental properties, timeshare resorts, campgrounds and RV parks worldwide to increase their online presence and number of bookings.",https://bookingpal.com/en/
