Company Name,Description,Link
Flexiv,"Flexiv is building the world's first adaptive robots to automate complex tasks with ‘hand-eye’ coordination like a human in uncertain environments. Flexiv's adaptive robotic arm, Rizon, with force control and AI vision that can be widely used to automate tasks in industries like automobiles and electronics.",https://www.flexiv.com/en/
Esusu,Esusu is a venture backed fintech company that builds digital tools and services designed to help people improve their financial resiliency and establish robust financial identities. The company specializes in capturing consumer data related to rental payments and peer-to-peer payments.,https://esusurent.com/
Visby Medical,Visby Medical is a diagnostics company that develops PCR-based diagnostic tests for the detection of infectious diseases.,https://www.visbymedical.com/
Truebill,"Truebill is a payment platform for customers to manage their subscriptions and recurring bills (such as Netflix, Spotify, etc). Subscription services can also use Truebill to remove credit card fees and avoid the cost of charging expired credit cards.",https://www.rocketmoney.com/?rebrand=
Manscaped,"Manscaped’s product line was created specifically for a man’s distinctive grooming needs. Featuring specially formulated products to cleanse, moisturize, and deodorize, as well as tools engineered to give a man a refined appearance, Manscaped equips him with the right products and tools for the job in a complete manscaping system that is easy, powerful, and satisfying.",https://www.manscaped.com/
Turing,"Turing’s intelligent talent cloud provides fast,on-demand hiring of remote software engineers vetted to a Silicon Valley standard for coding, communication, and performance. Turing can help scale engineering teams on-demand, and enable unprecedented scale, velocity, and accuracy for companies.",https://www.turing.com/
Cloudwalk,"CloudWalk is a digital payment acquirer. Their Next-Generation platform provides exceptional offerings at industry-lowest merchant fees, and has processed more than US$1 billion in transactions annually.",https://cloudwalk.io/
Quantenna Communications,Quantenna is a global leader and innovator of leading-edge performance Wi-Fi solutions focused on developing chipsets for high-speed wireless networks and devices.,http://www.quantenna.com/
Soundhound,SoundHound is an innovator in voice-enabled AI and conversational intelligence technologies. It is the first independent AI platform that enables developers and business owners to deploy it anywhere and retain control of their brand and users while differentiating and innovating.,https://www.soundhound.com/
Shippo,"Shippo is an American software company that helps e-commerce businesses, online marketplaces, and platforms integrate shipping with multiple carriers through their API and web application.",https://goshippo.com/
Vesttoo,Alternative reinsurance for the Life & Non-Life insurance market.,http://vesttoo.com
ApplyBoard,ApplyBoard is the world's largest online platform for study abroad.,http://www.applyboard.com/
Rappi,Rappi is a consumer tech company that specializes in providing online delivery services.,https://www.rappi.com/
Einride,"Einride’s solution is based on autonomous, all-electric vehicles, coordinated by an intelligent routing software, that integrates customer data, traffic data, etc. to optimize delivery time, battery life and energy consumption.",https://www.einride.tech/
Kustomer,Kustomer is an omnichannel Software-as-a-Service (SaaS) CRM platform specializing in customer service.,http://www.kustomer.com/
Blockdaemon,"Blockdaemon aims to be the Heroku of blockchain, providing an automative nodes-as-a-service model, that allows for easy peer-to-peer network management. Based of the Scalr functionality for cloud-computing, blockdaemon can configure nodes across all blockchains, servers and companies within minutes.",https://blockdaemon.com/
Flutterwave,Flutterwave is the leading provider of technology and infrastructure for processing any method of payment across any channel in over 30 African countries.,https://www.flutterwave.com/
BigID,BigID is a data intelligence company developing software that helps companies secure customer data and satisfy privacy regulations.,https://bigid.com/
Owkin,Owkin combines life-science and machine learning expertise to make drug development and clinical trial design more targeted and more cost effective. Owkin's machine learning algorithms create models that predict disease evolution and treatment outcomes.,http://owkin.com/
FLYR,FLYR is the data science company that predicts prices for flights and other travel categories and develops unique proprietary products that leverage those predictions. See us on large partners' sites such as Trip Advisor.,http://flyrlabs.com/
N26,N26 is a Berlin-based fintech company that enables its customers to manage their bank accounts through their smartphones.,http://n26.com
PayPal (acq. by Ebay),"PayPal is the faster, safer way to send money, make an online payment, receive money or set up a merchant account.",http://www.paypal.com
LendingClub,Online peer-to-peer lending allowing members to directly invest in and borrow from each other.,http://lendingclub.com
Hippo,"Hippo is redesigning home insurance for the modern household. We make it easy to buy entirely online with no pushy agents and we’ve redesigned the coverage from the ground up to fit the modern household, removing things people don’t own anymore (like pewter bowls) and increasing coverage for the things that modern households have (like computers, home office, bikes).",http://myhippo.com
Guardant Health,Guardant360 is the only biopsy-free tumor sequencing test that tracks tumor genomics in real-time. Guardant Health is committed to positively and significantly impacting patient health through technology breakthroughs in oncology.,http://guardanthealth.com
FiscalNote,"With its Government Relationship Management (GRM) Platform, FiscalNote enables government affairs professionals and executives to maximize their influence on legislation and regulatory policy through automation; optimization; and the delivery of analytical insights.",http://fiscalnote.com
Dropbox,Online file storage (cloud storage). Allows users to access important files from any PC or mobile device through cloud storage on the web.,http://dropbox.com
Course Hero,Course Hero We empower students and educators to succeed through course-specific study resources and 24/7 homework help.,http://coursehero.com
Tractable,"Our AI understands images like experts do. But it can assess thousands, in seconds, with razor-sharp accuracy. So your organization can perform like never before.",http://tractable.ai
Trulioo,Trulioo is a leading global identity and business verification company that provides secure access to traditional and alternative data sources worldwide to instantly verify consumers and businesses online.,https://www.trulioo.com
Honey,"Honey is a beautiful and intuitive social intranet. Built to connect global teams, share resources, simplify team conversations, and support employee workflows, Honey makes internal communications easy.",http://joinhoney.com
