Company Name,Company Description,Company Link
1DocWay,Building telepsychiatry networks to bring mental healthcare to underserved populations. (Acquired by Genoa),https://1docway.com/
Accountable,An online platform guiding companies through the process of becoming HIPAA compliant.,https://accountablehq.com/
AgileMD,"Clinical guidelines, analytics, and decision support in your EHR.",https://agilemd.com/
Ambient Clinical Analytics,Powerful analytics based bedside clinical decision support tools for hospitals' critical care units.,https://ambientclinical.com/
Amino,Empowering people to make more confident decisions about their healthcare.,https://amino.com/
Aptible,An application deployment and compliance platform designed to streamline HIPAA compliance.,https://www.aptible.com/
Arine,Optimizing medications through data-driven clinical services.,https://www.arine.io/
Arsenal Health,Building the backbone of the learning health system. (Acquired by athenahealth),https://arsenalhealth.com/
Augmedix,Empowering doctors to spend more time with patients and less time charting.,https://augmedix.com/
Avive Solutions,Bringing AEDs to the masses.,https://www.avive.life/
Beam Dental,"A dental benefits company that provides discount cards, insurance plans, and wellness solutions.",https://beam.dental/
Benchling,Accelerating life science R&D with an intelligent cloud-based software platform.,https://benchling.com/
,,
Bodyport,Empowering everyone to prevent heart disease in one simple step.,http://bodyport.com/
Brightline,Reinventing behavioral healthcare for children and families.,https://hellobrightline.com/
Benchling,Accelerating life science R&D with an intelligent cloud-based software platform.,https://benchling.com/
CancerIQ,Bringing predictive analytics to the world of cancer care.,https://canceriq.com/
CliniCast,(Acquired by Elekta),
drchrono,The best mobile EHR experience for physicians and their patients.,https://drchrono.com/
Collective Health,A smarter way to provide healthcare coverage through technology.,https://collectivehealth.com/
Docphin,(Acquired by HealthTap),https://www.docphin.com/
Doctor On Demand,"The fastest, easiest way to see a board-certified doctor or mental health professional on your computer, tablet, or phone.",https://doctorondemand.com/
Elemental Machines,Accelerating scientific research with insight and confidence.,https://elementalmachines.io/
Enzyme,Automating FDA compliance and approval.,https://www.enzyme.com/
Equip,Eating disorder treatment that works—delivered at home.,https://equip.health/
Evidation Health,New ways to measure health in everyday life.,https://evidation.com/
Foodsmart,Eating well made simple.,https://www.foodsmart.com/
Health IQ,Celebrating the health conscious.,https://healthiq.com/
,Home care built for our parents. And you.,https://joinhonor.com/
InsightRX,Making any medicine precision medicine.,https://insight-rx.com/
Iodine,Turning experience into better medicine. (Acquired by GoodRx),https://iodine.com/
JOON,Wellbeing benefits for the modern workforce.,https://joon.io/
Kinsights,Connecting parents with resources when they need it most. (Acquired by Care.com),https://kinsights.com/
Kit Check,"Faster, safer, and friendlier medication tracking.",https://kitcheck.com/
Kurbo Health,The first mobile coaching solution designed specifically to help children and families. (Acquired by WW),https://kurbo.com/
Lift Labs,Helping people with hand tremor eat more easily and with confidence. (Acquired by Google),https://liftware.com/
Lumity,Simplifying the pain of health plan decisions with data-driven recommendations.,https://lumity.com/
Marigold Health,Community as a wraparound service.,https://www.marigoldhealth.com/
Moxe,Moxe helps health systems navigate the challenges of interoperability.,https://moxehealth.com/
Natalist,Radically improving the fertility experience.,https://natalist.com/
Neurotrack,Transforming the diagnosis and treatment of cognitive decline.,https://neurotrack.com/
Omada Health,"A pioneer in digital therapeutics, helping people reduce their risk for chronic diseases.",https://omadahealth.com/
OpenPlacement,Making care transitions easy. (Acquired by Ensocare),https://www.openplacement.com/
Oula,Oula is redesigning maternity care from the ground up.,https://oulahealth.com/
Pipette,(Acquired by Ginger.io),
Podimetrics,On a mission to rid the world of diabetic foot ulcers.,https://podimetrics.com/
Precisely,"Personalized, next-generation health.",https://precise.ly/
Reify Health,"Digitizing the clinical research site to make clinical trials faster, cheaper, and more predictable.",https://reifyhealth.com/
Ribbon Health,"Ribbon Health offers the most comprehensive, accurate API data platform that is the infrastructure for a future where every patient care decision is convenient, cost-effective, and high-quality.",https://www.ribbonhealth.com/
Sano,Helping people understand what's happening inside their bodies. (Acquired by One Drop),
Sensentia,Using artificial intelligence to simplify health insurance information.,https://sensentia.com/
Ribbon Health,"Ribbon Health offers the most comprehensive, accurate API data platform that is the infrastructure for a future where every patient care decision is convenient, cost-effective, and high-quality.",https://www.ribbonhealth.com/
Sessions,(Acquired by MyFitnessPal),
,"Peer-to-peer, asynchronous video messaging platform and specialist network.",https://www.trustsitka.com/
Spire Health,Remote patient monitoring platform to transform respiratory care.,https://spirehealth.com/
Stride,"The mobile-first suite of ""Benefits for Independents,” is directly integrated into the largest on-demand marketplaces in the world.",https://stridehealth.com/
Studio Dental,The first dental office on wheels that visits you at work.,https://studiodental.com/
TelePharm,Reinventing the pharmacy. (Acquired by Cardinal Health),https://telepharm.com/
Virta,Virta is an online diabetes reversal clinic.,https://www.virtahealth.com/
Vivante Health,The first all-in-one digital solution for digestive health.,https://vivantehealth.com/
Welkin Health,Care management software built for healthcare.,https://welkinhealth.com/
Wellframe,Extending the reach of care management services to support patients.,https://wellframe.com/
Wello,Making it easier for you to get and stay healthy. (Acquired by Weight Watchers),http://weightwatchers.com/
Wellth,Improving care plan adherence through the use of behavioral economics.,https://www.wellthapp.com/
WellTheory,WellTheory offers evidence-based nutrition and lifestyle coaching to reduce autoimmune symptoms and help you feel like you again.,https://www.welltheory.com/
Wildflower Health,Growing healthy families.,https://wildflowerhealth.com/
Zus Health,A shared healthcare development and infrastructure platform.,https://zushealth.com/
