Company Name,Link,Location,Statement
1Doc3,http://1doc3.com/,"Bogotá, Colombia",1Doc3 provides access to primary care in Latin America.  
9amHealth,http://9am.health/,"San Diego, CA, United States","9amHealth is committed to providing compassionate care, affordable medications, and custom healthcare plans to people living with prediabetes and Type 2 diabetes."
Able Channel,http://theablechannel.com/,"Cranford, NJ, United States","The Able Channel is on a mission to provide credible healthcare information for all through its streaming service platform, sharing stories of healthcare, hope, inspiration, and innovation."
Abvance Therapeutics,http://abvancetherapeutics.com/,"Reno, NV, United States",Abvance is a biotechnology company dedicated to improving health outcomes in people with insulin-treated diabetes.
AC Health,http://ac-health.com/,"Woodbridge, CT, United States",AC Health's mission is to deliver patient engagement as it's never been seen before.
Accel Diagnostics,http://acceldx.com/,"Houston, TX; Pittsburgh, PA, United States",Accel Diagnostics reimagines blood testing diagnostics beyond the laboratory setting.
AdhereTech,http://adheretech.com/,"New York, NY, United States",AdhereTech is the leading provider and pioneer of smart devices that connect patients to care via real-time interventions.
Affectifi,http://affectifi.com/,"Brooklyn, NY, United States","Affectifi is on a mission to make emotional literacy development easy, fun, effective, and universal through transformative technology solutions."
AgeRate,http://age-rate.com/,"Ontario, Canada","AgeRate is on a mission to unlock the potential of human longevity, by empowering consumers with tools to demystify and optimize aging. "
Aidar Health,http://aidar.com/,"Baltimore, MD, United States",Aidar Health improves the quality of life for patients with chronic conditions and enables positive outcomes by empowering personalized healthcare.
Aimee Health,https://aimeehealth.ai/,"San Francisco, CA, United States",Aimee Health is on a mission to use nutritional intervention to improve brain function and extend the health span of every person by 25 years.
AireHealth,http://aire.health/,"Orlando, FL, United States",AireHealth is on a mission to enable patients to take control of their respiratory diseases. 
Akenta Health,http://akentahealth.com/,"Los Angeles, CA, United States",Akenta Health is on a mission to remove the barriers that contribute to disparities in healthcare.
Akute Health,http://akutehealth.com/,"Austin, TX, United States",Akute Health is on a mission to empower patients and help physicians focus on the patient and not the paperwork.
AlemHealth,http://alemhealth.com/,"Singapore,  Singapore","AlemHealth is giving everyone affordable, worldwide access to world-class radiologists."
Alerje,http://alerje.com/,"Detroit, MI, United States","Alerje builds emergency medicine & digital oral immunotherapy (OIT) solutions for 220M families worldwide impacted by food allergies. Our epinephrine auto-injector integrates into a smartphone case for improved patient adherence improvement and alerts. Our National Science Foundation validated OIT adherence platform collects, stores, analyzes, and distributes clinically relevant for families, allergists, insurers, & pharma."
Ampersand Health,http://ampersandhealth.co.uk/,"London, England, UK",Ampersand is on a mission to help light the path to sustained remission for people with chronic inflammatory diseases. 
Anau Health,http://anau.com/,"San Francisco, CA, United States",Anau is a whole health company expanding access to world class maternity care for America's moms and babies.
AppointmentNotify,http://appointmentnotify.com/,"New York, NY, United States",AppointmentNotify is on a mission to improve the appointment experience for both providers and patients.
AQai,http://aqai.io/,"London, England, UK",AQai is on a mission to transform the health and wellbeing of 100M people by 2030
Arcade Therapeutics (fka Wise Therapeutics),http://arcadetherapeutics.com/,"New York, NY, United States","Arcade Therapeutics (fka Wise Therapeutics) is on a mission to create game-based digital therapeutics for mental health, integrated with provider workflows."
Arrive Health (fka RxRevu),http://arrivehealth.com/,"Denver, CO, United States","Arrive Health (formerly RxRevu) is on a mission to empower providers, care teams, and patients with the real-time cost and coverage information in order to reduce friction in care workflows and enable meaningful conversations about access to care."
Ashana Health,http://ashanahealth.com/,"Robbinsville, NJ, United States",Ashana is on a mission to help each person who starts physical therapy to finish therapy.
Athelo Health,http://athelohealth.com/,"Nashville, TN, United States",Athelo Health is on a mission to transform the patient experience for women with cancer  - both during treatment and remission. 
Atlas AI,http://atlasai.co.uk/,"London, England, UK",Atlas AI is on a mission to provide performance feedback for people exercising online.
Augmental Technologies,http://augmentaltech.com/,"Cape Town, South Africa","Augmental Technologies is on a mission to help families thrive by empowering parents on their children's ADHD, autism, and mental healthcare journeys."
AuraSense,http://aurasense.tech/,"Chicago, IL, United States","AuraSense is on a mission to use digital screening technology to detect early signs of limb damage, thus preventing limb loss and improving patient quality of life."
Avanlee Care,http://avanleecare.com/,"Billings, MT, United States",Avanlee Care is on a mission to change the way we care for our aging population. 
AvoMD,http://avomd.io/,"New York, NY, United States",AvoMD is on a mission to increase the adoption of evidence-based medicine and other critical information at the point of care.
BabyMed Africa,http://babymed.jabotech.co.ke/,"Nairobi,  Kenya","BabyMed is on a mission to save the lives of pregnant women, provide trusted health information to guardians of young children, and women of child-bearing age in Kenya in order to reduce deaths from  preventable pregnancy or childbirth problems."
Babyscripts,http://getbabyscripts.com/,"Washington, DC, United States",Babyscripts is rethinking the delivery of pregnancy care through the power of technology and remote patient monitoring.
Balance Health,http://balancehealthdiabetes.com/,"Sydney, Australia",Balance Health is building the future of diabetes care.
Beam Health,http://beam.health/,"New York, NY, United States",Beam Health is a digital storefront for private practices.
