Company Name,Company Link,Company Description
0Chain,http://0chain.net,"0Chain provides transparent data privacy, security, and third-party sharing to reduce liabilities

    http://0chain.net"
123Sonography,https://www.123sonography.com/,"Global #1 community for medical ultrasound & echocardiography with more than 30,000 alumni and 400,000 users from over 180 countries.
123sonography is leading the way in helping healthcare professionals get the best education to improve health outcomes.
While developing the courses and defining the learning objectives at 123sonography, we strictly follow the scientific guidelines on how to assess and manage your patients with the help of ultrasound. Choose between Diploma Courses, micro-learning apps, webinars, and subscription memberships – we have a matching learning path ready for you!

    www.123sonography.com"
24symbols,http://24symbols.com,"24symbols is a service to read and discover digital books online, based on a mobile subscription model. 24symbols is a multi-device, multi-publisher service that enables users to discover, read and share digital books on the cloud (i.e. no book download is required.) The service is offered to readers (1) via the 24symbols brand, directly to the subscriber; and (2) through mobile carriers worldwide, using either the carrier brand or 24symbols. Currently on 8 countries, 700,000 readers and 200,000 titles in 6 languages.

    http://24symbols.com"
3D Technologies,http://www.3dtech-rd.com/,"3D Technologies R&D is a private limited company established in the EU in 2006. They provide interactive applications for real-time 3D visualization on an open source platform. One such application is the 3D Wayfinder which uses 3D Technologies R&D's open source JavaScript WebGL engine to display 3D floor plans.

    http://www.3dtech-rd.com"
3IPK,https://3ipk.com/#Home,"3IPK develops blockchain-based SaaS solutions to improve the efficiency of aerospace development, manufacturing, and maintenance processes. Accomplished by introducing a high level of transparency, traceability, and data security when capturing approvals of digital data (including certification documents) flowing through the supply chain and across various processes including engineering design, manufacturing and in-service support.

    3ipk.com/#Home"
4sqwifi,http://4sqwifi.com/,"4sqwifi helps you find nearby venues with Wi-Fi and their passwords --worldwide. Using Foursquare's API and its user-generated venue tips

    http://4sqwifi.com"
89 Bits,http://89bits.es,"""89 bits offers 2º screen services over live sport events to engage fans, who operate as team manager of their favourite sports competing live againt the real managers and against their friends. Nowadays our customers are:
- Broadcasters that want to enhance their live content and avoid audience drops
- Brands with sport sponsorships that want to offer 2nd screen service to open a new channel to reach sport fans at the same time that fans enjoy their favourite sports. We offer the service (white label) with a year license fee per each sport and country.""

    http://89bits.es"
ABAKA,,"ABAKA is a mobile App powered by Artificial Intelligence. It directly helps your employees engage with all their pensions to save better, make intelligent and educated decisions with their savings and encourages financial wellbeing at work. ABAKA's focus on financial wellbeing helps employees reduce financial worries whilst employers enjoy the benefits of increased workforce engagement, communication and productivity."
Abroarch,,"Abroarch has built an overseas business information portal that responds quickly and reasonably to the needs of companies that want to acquire basic information and conduct business feasibility studies efficiently in overseas markets, or that want to know market information, regulations, business trends, customs, etc. that will serve as a basis for building a full-scale business plan."
AcceptEmail,https://www.acceptemail.com/us,"AcceptEmail – taking away hurdles to transform your bill payment process into just a few click on your mobile phone, tablet or PC. A customer-centric way of receiving and paying bills off. Your bill is sent straight to your phone, tablet or PC via email, whatsapp or social. There's no need to copy details or pull out a checkbook. From now on paying bills is quick and easy.

    www.acceptemail.com/us"
Acres,,Acres is a mobile platform that automates tasks done by conventional real estate brokers and on-site leasing teams.
Activatr,http://www.activatr.com/,"Activatr is a multi-channel word-of-mouth marketing platform for activating a brands consumers and employees in a way that’s authentic and measurable. Through Activatr, brands can cede publishing control of their content to their consumers or employees in exchange for an incentive. In doing so, they capture the power and reach of organic peer-to-peer recommendations. Activatr provides tools to track and measure the earned media, marketing and conversions that result from these social sharing and email outreach efforts.

    http://www.activatr.com"
Actively,https://actively.ai,"Meet Ellie, your booking assistant. Ellie is capable of booking, rescheduling and canceling fitness classes and wellness experiences, all through conversation.
No more fumbling through a poorly designed schedule picker. Simply speak to Ellie naturally and all of the work is handled for you. There is no need to download anything, create a new login, or memorize commands.
You can talk to Ellie, the same way you talk to friends, using SMS or Facebook Messenger. And when you're busy, you can use Siri, Alexa, or Google Assistant to talk to Ellie for you.
Integration with businesses requires only a single click. We are platform agnostic and integrate with all the leading management software that businesses regularly use, like MINDBODY, Acuity, and zingFit.

    actively.ai"
ACTO App,https://actoapp.com/,"We’re a sales learning app that helps you launch products more successfully and quickly by getting your reps to deliver your sales and marketing messages more consistently in the field so that they’re having more effective conversations with buyers.

    actoapp.com"
AddSearch,https://www.addsearch.com/,"AddSearch solves a pressing problem: searching on any website is typically a terrible experience. Site search hasn’t developed in years, and implementing a good search is expensive and time-consuming.

    www.addsearch.com"
Adjan Consulting,https://adjanconsulting.com/,"Adjan Consulting helps business leaders, sports club presidents, associations, committees, federations and leagues in the implementation of new strategies and new business models. Whether it's to modify the economic system of a sports structure, support athletes to achieve their goals, or manage sales boards, Adjan Consulting brings together a team of professionals focused on the ambitions and success of their clients.

    adjanconsulting.com"
Adoratherapy,https://adoratherapy.com/,"Adoratherapy is an American manufacturer of aroma-perfume. Our functional fragrance collections are formulated with organic essential oils, that when linked to a strong intention for the best breath of your day, shift mood and emotion. Vegan, cruelty-free and handmade, we are an artisan perfumer leading in the clean perfume category selling online and in our Asheville retail store.

    adoratherapy.com"
Adspert,http://www.adspert.net/en/,"Adspert Bidmanagement is a VC-backed company focused on making performance marketing more profitable for every advertiser. The user-friendly web-based software can be activated with just one click

    http://www.adspert.net/en"
advocado,https://www.advocado.de/,www.advocado.de
