company_name,company_link,description,ceo_name
123 Baby Box,https://123babybox.com,"123 Baby Box is a monthly subscription box for first-time moms, providing them a box of joy for their bundle of joy.",Zarina Bahadur
Adrich,https://www.adrich.io,Adrich is a smart chip and PaaS platform that captures consumer product usage data to enable timely replenishment of products used.,Adhithi Aji
Ash Wellnes,,Ash provides an end-to-end platform solution to enable remote diagnostics for your customers or patients.,David Stein
Avi Health,,"Avi Health is an end-to-end solution for the 10,000 nephrologists who control $100 billion in dialysis spending to set up, grow, and optimize their own home dialysis care for patients at 10% of the cost of traditional programs.","Aman Khanuja, MBBA, MPH, MBA"
AVEC,https://avecdrinks.com/,"Avec creates better for you, premium mixers for spirits.",Alex Doman
AXIUS,https://axiuscore.com/,"The first and only connected fitness platform designed specifically for the aging but active baby boomers, and the elite or weekend warriors. AXIUS builds your core to reduce the risk of injury, providing longevity as you age, and improves your postural biomechanics in as few as 5 workout sessions.",Brian Doyle
Barb,,Barb is a lifestyle brand that creates products and community for folks who express themselves through their short hair.,Megan Andrews
Billie,https://mybillie.com/,"Billie is a female-focused e-commerce company that gives women a better holistic bathroom experience by delivering personal care essentials at half the price. Billie has executed a desirable supply partnership, establishing access to a $6B sub-category with otherwise strong barriers to entry.",Georgina Gooley
Bluue,,"Bluue is a heart monitor that can be delivered in the size of an Apple computer mouse, outside of the chest. Using AI and data science, the team has created a device that measures cardiac patterns and can diagnose a risk score for patients to pre-determine whether more invasive tests should be used or patients are at high risk for cardiac distress.",Dave Deriso
Bobblehaus,https://www.bobblehaus.com/,"Bobblehaus is a genderless, Gen-Z-led sustainable fashion platform and content generator.",Ophelia Chen
by Reveal,https://www.byreveal.com/,"by Reveal is a low risk, turn-key mobile popup launchpad for brands seeking to build a direct physical retail presence. Popups are self-powered with 2 built-in dressing rooms. They collect real-time data through POS and RFID touch points.",Megan Berry
Caraa,https://caraasport.com/,"Caraa is the next generation accessories brand that bridges high fashion with performance functionality. Bags that are versatile and functional, and provide a seamless transition in and out of the fitness studio.",Aaron Luo
Cartogram,,"Cartogram bridges the gap between indoor and outdoor navigation by providing turn-by-turn indoor directions to users and modifying building routing in seconds. Built natively into the Google Maps platform, Cartogram creates an end-to-end in-venue experience to enhance customer experience, lower overhead for businesses, and drive revenue.",Will Clausen
Cherry Pick,https://cherrypickai.com/,"Cherry Pick tracks consumer demand for every single beauty product on the market. By transforming comments on social content into purchase intent for product SKUs, Cherry Pick empowers brands and retailers to make product development, merchandising, and marketing decisions reactive to real-time consumer intent. Our mission is to reinvent how business is done in a social-first world.","Justin Stewart,"
Clear Health,https://helloclearhealth.com/,"Clear Health is the dermatologist for Gen-Z. Our D2C telemedicine platform lets customers get acne meds, Accutane, and top-notch skincare seamlessly prescribed online and delivered, while saving time for physicians and reducing their admin load.",Michael Chang
Cluey,,Cluey is a web platform which acts as a values compass for conscious consumers who want to support brands that represent their values.,Maryclaire Manard
